iter	RMSE
0	0.258314763
1	0.2566980522
2	0.2550899877
3	0.253527816
4	0.2519576331
5	0.2504034983
6	0.2488613531
7	0.2473676998
8	0.2458865014
9	0.2444182494
10	0.2429654289
11	0.2415154527
12	0.2400937439
13	0.2386916452
14	0.2373048377
15	0.2359116216
16	0.2345404451
17	0.2331742546
18	0.2318405074
19	0.2305111062
20	0.2291926706
21	0.2278976987
22	0.2266505719
23	0.2253701626
24	0.2241263138
25	0.2229081056
26	0.2217050708
27	0.2205103329
28	0.2193105588
29	0.2181399914
30	0.216982328
31	0.2158488938
32	0.2147298148
33	0.2136167124
34	0.2125112649
35	0.2114338971
36	0.2103640215
37	0.2093122133
38	0.2082663561
39	0.2072349882
40	0.2062025697
41	0.2051815946
42	0.2041703363
43	0.2032020124
44	0.2022389819
45	0.201270665
46	0.2003097818
47	0.1993687411
48	0.1984561757
49	0.1975643331
50	0.1966676555
51	0.1957980567
52	0.1949218031
53	0.1940740947
54	0.193215276
55	0.1923729866
56	0.1915268627
57	0.190708186
58	0.1899072974
59	0.1891115237
60	0.1883208713
61	0.1875546156
62	0.1867822149
63	0.1860219333
64	0.1852649518
65	0.1845332027
66	0.1838229474
67	0.1831213365
68	0.1824189371
69	0.1817353332
70	0.1810384294
71	0.1803626648
72	0.179688178
73	0.1790345836
74	0.1783865092
75	0.17773825
76	0.1771326944
77	0.176514342
78	0.1758697158
79	0.1752605341
80	0.1746451601
81	0.1740515481
82	0.1734382298
83	0.1728454815
84	0.1722660431
85	0.171711781
86	0.1711622974
87	0.1705906959
88	0.1700471733
89	0.1695008646
90	0.168986501
91	0.1684855544
92	0.1679743367
93	0.1674918956
94	0.1670074981
95	0.1665127391
96	0.1660084703
97	0.1655066469
98	0.1650364345
99	0.1645594078
100	0.164086185
101	0.1636344339
102	0.1632074503
103	0.1627747006
104	0.1623246615
105	0.1618965649
106	0.1614734775
107	0.1610560864
108	0.160640123
109	0.1602322934
110	0.1598323255
111	0.1594510502
112	0.1590581515
113	0.1586582622
114	0.1582903484
115	0.1579130692
116	0.1575262778
117	0.1571770894
118	0.1568339232
119	0.156495832
120	0.1561421094
121	0.1557990605
122	0.1554618362
123	0.1551181387
124	0.1547855821
125	0.1544456833
126	0.1541171113
127	0.1538065614
128	0.1534793426
129	0.1531550332
130	0.1528496966
131	0.1525539547
132	0.1522586157
133	0.1519572933
134	0.1516694502
135	0.1513895106
136	0.1511096413
137	0.150840911
138	0.1505479226
139	0.1502800238
140	0.1500221573
141	0.1497533651
142	0.1495072853
143	0.1492586647
144	0.1490086701
145	0.148753877
146	0.1484999165
147	0.1482455665
148	0.1480008982
149	0.1477542699
150	0.1475048106
151	0.1472775103
152	0.1470634071
153	0.1468417233
154	0.1466212188
155	0.1464026278
156	0.1461906498
157	0.1459902183
158	0.145776932
159	0.1455799618
160	0.1453788134
161	0.1451846467
162	0.1450028745
163	0.1448009119
164	0.1446126279
165	0.1444201107
166	0.1442242565
167	0.1440296895
168	0.1438436181
169	0.1436690951
170	0.1434955849
171	0.1433266361
172	0.1431577567
173	0.1429945968
174	0.1428256423
175	0.1426487738
176	0.1424851663
177	0.1423261675
178	0.1421631416
179	0.1419988502
180	0.1418450943
181	0.1416875521
182	0.141529685
183	0.1413884324
184	0.1412369921
185	0.1410920133
186	0.1409473491
187	0.1408041269
188	0.1406515518
189	0.1405151952
190	0.1403658692
191	0.1402383994
192	0.1401122068
193	0.139987086
194	0.1398536814
195	0.1397333555
196	0.1396148984
197	0.1394970935
198	0.1393783427
199	0.1392551446
200	0.1391371713
201	0.1390187685
202	0.1388954353
203	0.1387729463
204	0.1386620804
205	0.1385561345
206	0.1384443751
207	0.1383256495
208	0.1382213031
209	0.1381059842
210	0.137994591
211	0.1378860238
212	0.1377867787
213	0.1376732409
214	0.1375627388
215	0.1374623969
216	0.1373712537
217	0.1372665336
218	0.1371616568
219	0.1370766544
220	0.1369781042
221	0.1368836639
222	0.1367882648
223	0.1366952449
224	0.1366136552
225	0.1365206839
226	0.1364451102
227	0.1363613696
228	0.1362643549
229	0.1361771072
230	0.1360841846
231	0.1359970729
232	0.1359118052
233	0.1358191427
234	0.1357388678
235	0.1356646211
236	0.1355891465
237	0.1355171239
238	0.1354382739
239	0.1353634186
240	0.1352880559
241	0.1352084523
242	0.13513459
243	0.1350564402
244	0.134988842
245	0.1349101476
246	0.1348383388
247	0.1347604274
248	0.134697359
249	0.1346282995
250	0.1345560932
251	0.1344912251
252	0.1344322016
253	0.1343608195
254	0.1342926016
255	0.1342246061
256	0.1341646212
257	0.1340983729
258	0.1340322453
259	0.1339688572
260	0.133906476
261	0.1338387001
262	0.1337705384
263	0.1337106819
264	0.1336382699
265	0.1335802218
266	0.1335215659
267	0.133460489
268	0.1333907253
269	0.1333418209
270	0.133278162
271	0.1332164462
272	0.1331624166
273	0.1330989927
274	0.1330522512
275	0.1330017163
276	0.1329511909
277	0.1328927478
278	0.1328385396
279	0.1327783538
280	0.1327216559
281	0.1326775476
282	0.132631014
283	0.1325918932
284	0.1325328084
285	0.1324784212
286	0.1324287728
287	0.1323797687
288	0.1323244106
289	0.1322742168
290	0.1322220901
291	0.1321775524
292	0.1321364215
293	0.1320878271
294	0.1320398863
295	0.1320025659
296	0.1319589107
297	0.1319121406
298	0.1318789537
299	0.1318330991
300	0.1317849918
301	0.1317367516
302	0.1316907429
303	0.1316350481
304	0.1315857341
305	0.1315351845
306	0.1314902419
307	0.1314432017
308	0.1314088341
309	0.131374045
310	0.1313437332
311	0.1312950787
312	0.1312492391
313	0.1312039099
314	0.1311500892
315	0.1311032315
316	0.1310606785
317	0.1310248082
318	0.1309820648
319	0.130943509
320	0.1309019018
321	0.1308683374
322	0.1308339944
323	0.1307975686
324	0.1307588541
325	0.1307272536
326	0.1306914096
327	0.1306517433
328	0.1306121999
329	0.1305786495
330	0.1305380411
331	0.1305050579
332	0.1304679624
333	0.1304332911
334	0.1304084952
335	0.1303769785
336	0.1303334107
337	0.13030299
338	0.1302677629
339	0.1302351339
340	0.1302073759
341	0.1301724412
342	0.1301344946
343	0.1300995679
344	0.1300648508
345	0.1300314738
346	0.1299954244
347	0.1299635049
348	0.1299258131
349	0.129890927
350	0.129858139
351	0.1298256085
352	0.129796743
353	0.1297647944
354	0.1297293372
355	0.1296922015
356	0.1296634815
