iter	Passed	Remaining
0	459	2754929
1	716	2149561
2	942	1883857
3	1177	1764797
4	1406	1686686
5	1605	1603708
6	1816	1555285
7	2005	1501781
8	2195	1461737
9	2393	1433442
10	2582	1405986
11	2771	1383125
12	2974	1369688
13	3159	1350981
14	3341	1333366
15	3536	1322598
16	3725	1311290
17	3922	1303493
18	4120	1297196
19	4320	1291838
20	4510	1284245
21	4710	1280014
22	4899	1273118
23	5085	1266168
24	5269	1259454
25	5455	1253532
26	5641	1248117
27	5826	1242697
28	6016	1238843
29	6219	1237755
30	6405	1233445
31	6600	1230983
32	6786	1227146
33	6976	1224173
34	7165	1221121
35	7349	1217614
36	7545	1215979
37	7734	1213562
38	7927	1211642
39	8112	1208820
40	8296	1205767
41	8480	1202997
42	8671	1201290
43	8858	1199170
44	9040	1196400
45	9230	1194753
46	9421	1193382
47	9620	1192908
48	9811	1191652
49	10005	1190673
50	10191	1188816
51	10377	1187024
52	10560	1184990
53	10753	1184072
54	10942	1182736
55	11132	1181650
56	11319	1180244
57	11507	1178876
58	11696	1177743
59	11881	1176294
60	12069	1175074
61	12255	1173753
62	12443	1172642
63	12632	1171706
64	12827	1171228
65	13023	1170965
66	13212	1169956
67	13398	1168856
68	13587	1167959
69	13778	1167264
70	13961	1165869
71	14149	1164961
72	14337	1164084
73	14523	1163071
74	14718	1162776
75	14909	1162165
76	15094	1161097
77	15283	1160406
78	15470	1159507
79	15659	1158786
80	15846	1157995
81	16037	1157443
82	16220	1156370
83	16464	1159536
84	16648	1158507
85	16838	1157953
86	17026	1157200
87	17211	1156326
88	17394	1155293
89	17602	1155892
90	17795	1155525
91	17986	1155056
92	18180	1154731
93	18478	1161010
94	18743	1165038
95	18990	1167914
96	19336	1176732
97	19724	1187901
98	19977	1190787
99	20215	1192698
100	20409	1192044
101	20625	1192621
102	20817	1191880
103	21010	1191156
104	21205	1190556
105	21392	1189530
106	21585	1188815
107	21774	1187943
108	21962	1186999
109	22154	1186260
110	22397	1188300
111	22591	1187645
112	22786	1187092
113	22978	1186413
114	23161	1185286
115	23353	1184565
116	23540	1183648
117	23739	1183359
118	23933	1182784
119	24122	1182026
120	24308	1181049
121	24509	1180895
122	24703	1180334
123	24894	1179683
124	25079	1178732
125	25258	1177537
126	25458	1177294
127	25650	1176729
128	25842	1176125
129	26031	1175421
130	26217	1174586
131	26411	1174125
132	26600	1173403
133	26791	1172824
134	26976	1171992
135	27163	1171205
136	27358	1170841
137	27547	1170161
138	27737	1169575
139	27922	1168744
140	28105	1167886
141	28295	1167270
142	28487	1166797
143	28681	1166373
144	28869	1165745
145	29053	1164939
146	29246	1164498
147	29441	1164139
148	29636	1163760
149	29821	1163041
150	30009	1162425
151	30197	1161795
152	30384	1161164
153	30578	1160810
154	30779	1160684
155	30964	1159962
156	31144	1159106
157	31338	1158729
158	31522	1157994
159	31709	1157402
160	31896	1156775
161	32077	1155993
162	32273	1155691
163	32456	1154985
164	32646	1154484
165	32830	1153827
166	33013	1153106
167	33197	1152443
168	33390	1152078
169	33579	1151590
170	33771	1151205
171	33959	1150664
172	34144	1150066
173	34338	1149741
174	34530	1149364
175	34725	1149086
176	34914	1148628
177	35099	1148015
178	35288	1147574
179	35476	1147089
180	35670	1146761
181	35854	1146167
182	36039	1145570
183	36224	1145002
184	36408	1144421
185	36594	1143884
186	36780	1143329
187	36964	1142749
188	37146	1142096
189	37342	1141901
190	37528	1141391
191	37724	1141179
192	37911	1140692
