feature	mean	std	min	max	missing_rate	spearman_corr_with_gex	corr_pvalue
DNase_tss_z_std_rank	0.50003	0.28867	0.00718	1.00000	0.00000	0.63396	0.00000
DNase_tss_z_std	0.06953	0.08878	0.00000	0.82975	0.00000	0.63396	0.00000
H3K4me3_tss_z_std_rank	0.50003	0.28867	0.01108	1.00000	0.00000	0.63377	0.00000
H3K4me3_tss_z_std	1.84875	2.18120	0.00000	11.80387	0.00000	0.63377	0.00000
activation_index	1.30416	1.96670	-0.09545	17.52710	0.00000	0.63053	0.00000
activation_index_rank	0.50003	0.28867	0.00006	1.00000	0.00000	0.63053	0.00000
H3K4me3_axis_sum	3.30460	4.56793	-0.18858	33.83138	0.00000	0.62249	0.00000
H3K4me3_axis_sum_rank	0.50003	0.28867	0.00006	1.00000	0.00000	0.62249	0.00000
DNase_ratio_std	2.96179	15.70585	0.00000	1917.05843	0.00000	0.61946	0.00000
DNase_ratio_std_rank	0.50003	0.28868	0.00279	1.00000	0.00000	0.61946	0.00000
H3K4me3_tss_z_mean_rank	0.50003	0.28867	0.00006	1.00000	0.00000	0.61806	0.00000
H3K4me3_tss_z_mean	2.73955	3.98360	-0.09433	21.18477	0.00000	0.61806	0.00000
openness_index	0.98509	1.44315	-0.16761	13.10398	0.00000	0.60537	0.00000
openness_index_rank	0.50003	0.28867	0.00006	1.00000	0.00000	0.60537	0.00000
promoter_activity	2.87339	4.13461	-25.50058	21.37461	0.00000	0.59467	0.00000
balance_H3K4_rank	0.50003	0.28867	0.00006	1.00000	0.00000	0.59467	0.00000
promoter_activity_rank	0.50003	0.28867	0.00006	1.00000	0.00000	0.59467	0.00000
balance_H3K4	2.87339	4.13461	-25.50058	21.37461	0.00000	0.59467	0.00000
DNase_H3K4me3_interaction	0.37122	0.70913	-0.03474	8.49941	0.00000	0.58709	0.00000
DNase_H3K4me3_interaction_rank	0.50003	0.28867	0.00006	1.00000	0.00000	0.58709	0.00000
DNase_promoter_body_delta	0.05586	0.08867	-0.30005	0.85225	0.00000	0.58032	0.00000
DNase_promoter_body_delta_rank	0.50003	0.28868	0.00006	1.00000	0.00000	0.58032	0.00000
H3K27ac_tss_z_std_rank	0.50003	0.28867	0.00497	1.00000	0.00000	0.57059	0.00000
H3K27ac_tss_z_std	1.67128	2.95416	0.00000	27.70465	0.00000	0.57059	0.00000
DNase_tss_z_mean_rank	0.50003	0.28867	0.00722	1.00000	0.00000	0.56636	0.00000
DNase_tss_z_mean	0.06883	0.09630	-0.00491	0.93759	0.00000	0.56636	0.00000
H3K27ac_axis_sum_rank	0.50003	0.28868	0.00006	1.00000	0.00000	0.55209	0.00000
H3K27ac_axis_sum	1.29703	2.96718	-0.37612	42.14794	0.00000	0.55209	0.00000
H3K4me3_H3K9me3_interaction_rank	0.50003	0.28867	0.00006	1.00000	0.00000	0.54024	0.00000
H3K27ac_tss_z_mean_rank	0.50003	0.28867	0.00491	1.00000	0.00000	0.54023	0.00000
H3K27ac_tss_z_mean	1.10410	2.57608	-0.18819	40.08236	0.00000	0.54023	0.00000
promoter_variability_rank	0.50003	0.28867	0.00006	1.00000	0.00000	0.52059	0.00000
promoter_variability	1.59591	1.87086	0.00200	18.31395	0.00000	0.52059	0.00000
H3K4me3_gene_z_std_rank	0.50003	0.28867	0.00562	1.00000	0.00000	0.51321	0.00000
H3K4me3_gene_z_std	1.71727	1.64998	0.00000	9.91922	0.00000	0.51321	0.00000
DNase_axis_sum_rank	0.50003	0.28868	0.00224	1.00000	0.00000	0.50904	0.00000
DNase_axis_sum	0.08180	0.11059	-0.00982	1.03391	0.00000	0.50904	0.00000
DNase_H3K9me3_interaction_rank	0.50003	0.28867	0.00006	1.00000	0.00000	0.50375	0.00000
H3K4me3_promoter_body_delta	2.17451	3.83856	-16.34681	20.30798	0.00000	0.48637	0.00000
