feature	fold_1_mean_abs_shap	fold_1_rank	fold_2_mean_abs_shap	fold_2_rank	fold_3_mean_abs_shap	fold_3_rank	fold_4_mean_abs_shap	fold_4_rank	fold_5_mean_abs_shap	fold_5_rank	mean_abs_shap_all	mean_rank_all
DNase_tss_z_std	0.014192846652746732	4.0	0.027457125413973868	2.0	0.04767989098887995	1.0	0.02513856000386279	2.0	0.06887247334604057	1.0	0.03666817928110079	2.0
DNase_tss_autocorr	0.019723728622413297	3.0	0.012330831614168257	5.0	0.010736474548836503	5.0	0.01560775031616744	4.0	0.017952687537623038	3.0	0.015270294527841708	4.0
DNase_tss_z_std_rank	0.023865168052655903	2.0	0.028372890559501783	1.0	0.005973445121505053	9.0	0.05292323529137403	1.0	0.0043860395839041	16.0	0.023104155721788172	5.8
DNase_tss_z_max	0.05323602704251031	1.0	0.011350361994112032	6.0	0.01159980500600279	4.0	0.024037602914808002	3.0	0.0025291559633224374	29.0	0.020550590584151113	8.6
DNase_H3K4me3_interaction	0.0068390403894369985	7.0	0.009791199040143986	8.0	0.007854894040601945	7.0	0.004059173055942397	16.0	0.008201025265074257	6.0	0.007349066358239916	8.8
DNase_ratio_std	0.006088066486010466	11.0	0.009634360354626512	9.0	0.008024435562166561	6.0	0.006522242742280669	9.0	0.005627187073479988	12.0	0.00717925844371284	9.4
openness_index	0.0051413661888096915	14.0	0.013126740519613404	4.0	0.012505537859445363	3.0	0.0036956367126635783	20.0	0.00575760049679024	10.0	0.008045376355464456	10.2
openness_index_rank	0.010167990305049125	6.0	0.0035533438969444662	16.0	0.0046063584511864	13.0	0.010805367068723955	5.0	0.005717871666336268	11.0	0.006970186277648042	10.2
H3K4me3_tss_autocorr	0.0035216116660487383	19.0	0.0014834418142908147	37.0	0.004295065348632218	14.0	0.004759052229694564	13.0	0.010255717245376694	4.0	0.004862977660808607	17.4
DNase_tss_slope	0.0031460580389719127	20.0	0.00258058249199325	23.0	0.0037490231641778126	18.0	0.007010775424374019	7.0	0.003133297827723198	24.0	0.003923947389448039	18.4
H3K4me1_tss_entropy	0.005083656873442175	15.0	0.0029183521939095147	19.0	0.003319103852484051	20.0	0.004505752226842574	14.0	0.0030856999237782257	25.0	0.003782513014091308	18.6
H3K4me3_gene_z_diff	0.0023537863342829477	32.0	0.007310390433135367	11.0	0.001535764551072065	37.0	0.007272023151671906	6.0	0.007240204323012952	9.0	0.005142433758635047	19.0
H3K4me3_axis_sum	0.006403500222623186	8.0	0.0012876498373855295	42.0	0.0074695421837051084	8.0	0.003511807699987853	22.0	0.003496328358241478	17.0	0.00443376566038863	19.4
DNase_tss_autocorr_rank	0.00117360230407314	65.0	0.010946531047756279	7.0	0.004997823090385583	12.0	0.004818984984172232	11.0	0.005594957372273516	13.0	0.005506379759732149	21.6
H3K27me3_gene_z_mean	0.002012655843970617	41.0	0.0037033696207411123	15.0	0.0026759195411447828	26.0	0.0060443849371580784	10.0	0.003474309586967914	19.0	0.003582127905996501	22.2
H3K36me3_gene_z_max	0.004489463193347425	16.0	0.0027269316658622205	22.0	0.0038662952622822966	16.0	0.002706882227613616	33.0	0.0024818331169150754	30.0	0.003254281093204127	23.4
H3K4me3_tss_entropy	0.005261611088266604	13.0	0.0031184559372687717	18.0	0.0012716255660486972	40.0	0.002075775049021611	43.0	0.009389559170841121	5.0	0.004223405362289361	23.8
H3K36me3_ratio_std	0.0013802400196393043	57.0	0.004555056487241222	14.0	0.0024783918188416324	29.0	0.006986685146494574	8.0	0.0024214176322211595	31.0	0.0035643582208875783	27.8
H3K4me3_gene_z_max	0.004316923046229982	17.0	0.0005878729129373004	81.0	0.0038537048582864154	17.0	0.003939140230242346	17.0	0.004440866900676244	15.0	0.0034277015896744577	29.4
DNase_tss_entropy	0.0020322306334235557	40.0	0.0050636348312834405	12.0	0.0023924980797604234	30.0	0.0028174304183137882	32.0	0.0023048901660558028	34.0	0.002922136825767402	29.6
strand_is_plus	0.0023320020171561724	33.0	0.0019959119503386103	28.0	0.0008041887010550069	57.0	0.004453925071987497	15.0	0.003226662267552087	22.0	0.0025625380016178747	31.0
H3K4me3_tss_z_max	0.001602262364650967	50.0	0.0025198319537337046	24.0	0.005594435449103636	10.0	0.001851982692907571	46.0	0.0020979072242955934	36.0	0.0027332839369382943	33.2
H3K36me3_promoter_body_delta	0.0026363426701816865	26.0	0.0012754111297856282	43.0	0.002686555423784592	25.0	0.0024727811790118863	35.0	0.0018193634548668766	44.0	0.002178090771526134	34.6
H3K27ac_H3K4me3_interaction	0.0011516602188723335	68.0	0.0010124421522764392	55.0	0.005458528868228165	11.0	0.0039194811619433015	18.0	0.0023598685990033866	32.0	0.0027803962000647253	36.8
H3K27ac_tss_entropy	0.0022538028297839742	35.0	0.0009053632853858528	61.0	0.0008445731730197302	56.0	0.004760210482603577	12.0	0.002350705310980247	33.0	0.0022229310163546763	39.4
DNase_tss_slope_rank	0.00300455555466016	22.0	0.0015515949758294401	33.0	0.0005952498961640139	76.0	0.0017229036022471994	47.0	0.0032601892659584342	21.0	0.0020268986589718494	39.8
H3K27me3_gene_z_mean_rank	0.0030547640781942646	21.0	0.0023701131276766944	25.0	0.0007513665957655088	63.0	0.001121605358901086	74.0	0.0033834381165140466	20.0	0.0021362574554103205	40.6
H3K4me3_axis_sum_rank	0.0021472460867892605	38.0	0.0049300358849415	13.0	0.002239331163439264	31.0	0.0011462444792983196	72.0	0.0014385489496143288	53.0	0.002380281312816535	41.4
H3K27ac_ratio_std	0.0019188562373246127	42.0	0.0009382328714791266	59.0	0.00075427175249101	61.0	0.0021549032635306163	40.0	0.002716875826121864	27.0	0.0016966279901894459	45.8
H3K9me3_gene_gradient_mean	0.0015142829837769883	53.0	0.0006676425579228232	74.0	0.0010405235155471967	49.0	0.0032762925186878553	24.0	0.0017225331490080208	46.0	0.001644254944988577	49.2
H3K27ac_gene_autocorr	0.00617741834293588	9.0	0.002737456963479721	20.0	0.003328687820841687	19.0	0.0004462654605357073	187.0	0.003483064584353063	18.0	0.0032345786344292115	50.6
H3K27ac_tss_z_max	0.0006019155840607013	123.0	0.009429001703457061	10.0	0.0018564621358856718	34.0	0.0013917105328946305	57.0	0.002183717991844722	35.0	0.0030925615896285575	51.8
DNase_tss_z_diff	0.00021899066874592985	232.0	0.026953273992867524	3.0	0.029734161620784027	2.0	0.003290480729953056	23.0	0.021745604937273674	2.0	0.01638850238992484	52.4
H3K27me3_gene_z_std	0.0008876843925180961	86.0	0.0011624926724314128	50.0	0.0008939861809191162	54.0	0.0025841740563968376	34.0	0.0015298467988029906	49.0	0.0014116368202136906	54.6
DNase_gene_z_max	0.002489186595768485	30.0	0.001052937741606744	52.0	0.0003897208408844782	103.0	0.00222264363914649	38.0	0.0014459561261773715	52.0	0.0015200889887167137	55.0
H3K4me3_gene_autocorr	0.011486719996321415	5.0	0.0001589863987497377	162.0	0.0006837273020132216	67.0	0.002273729080149215	37.0	0.0076349248945264	8.0	0.0044476175343519985	55.8
H3K27me3_gene_gradient_mean	0.0017370802444614394	49.0	0.001209217778046044	46.0	0.0007541340998104647	62.0	0.0012464777570822968	66.0	0.001314557534371348	57.0	0.0012522934827543185	56.0
H3K4me3_gene_gradient_mean	0.0012977030895268984	61.0	0.001719741506127494	31.0	0.0006282065520569236	70.0	0.003122109947175878	28.0	0.0006875426366719894	108.0	0.0014910607463118368	59.6
H3K36me3_gene_z_mean	0.002329023210244113	34.0	0.0009090705799507968	60.0	0.0013098970152358505	39.0	0.0008192802857631084	99.0	0.0011966302677947638	66.0	0.0013127802717977264	59.6
