number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_boosting_type,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_depth,params_min_data_in_leaf,params_min_gain_to_split,params_num_leaves,state
0,0.7153666975380131,2025-10-14 00:35:10.756955,2025-10-14 00:35:31.242520,0 days 00:00:20.485565,0.5290418060840998,7,dart,0.662397808134481,0.6011150117432088,1.416145155592091,0.026975154833351143,1,98,0.0010292247147901223,80,COMPLETE
1,0.7547368544923448,2025-10-14 00:35:31.245183,2025-10-14 00:35:45.184587,0 days 00:00:13.939404,0.7159725093210578,3,gbdt,0.8099025726528951,0.6118528947223795,0.27898772130408367,0.007599674150654906,3,43,0.014607232426760909,32,COMPLETE
2,0.7568799198332631,2025-10-14 00:35:45.188461,2025-10-14 00:37:56.334811,0 days 00:02:11.146350,0.8037724259507192,2,dart,0.6185801650879991,0.06505159298527952,1.8977710745066665,0.007918515779559376,7,83,0.04828160165372797,72,COMPLETE
3,0.754927019994781,2025-10-14 00:37:56.339593,2025-10-14 00:38:13.482687,0 days 00:00:17.143094,0.5171942605576092,7,gbdt,0.798070764044508,0.2587799816000169,1.325044568707964,0.024165903162442326,0,57,0.015585553804470548,64,COMPLETE
4,0.7568458261056382,2025-10-14 00:38:13.487132,2025-10-14 00:38:23.717892,0 days 00:00:10.230760,0.7989499894055425,7,gbdt,0.9579309401710595,0.0884925020519195,0.3919657248382904,0.046618106758907395,12,39,0.002261364445526903,104,COMPLETE
5,0.7538414894889531,2025-10-14 00:38:23.720307,2025-10-14 00:38:29.466991,0 days 00:00:05.746684,0.5704621124873813,6,gbdt,0.8170784332632994,0.07455064367977082,1.9737738732010346,0.033706023053513806,2,28,0.038612238464832874,56,COMPLETE
6,0.7576116717105731,2025-10-14 00:38:29.468756,2025-10-14 00:41:06.649177,0 days 00:02:37.180421,0.6792328642721364,1,dart,0.6296178606936361,0.8631034258755935,1.2465962536551158,0.025458179729092763,9,15,0.01654490124263246,96,COMPLETE
7,0.7590859646080659,2025-10-14 00:41:06.652576,2025-10-14 00:43:25.884768,0 days 00:02:19.232192,0.5597971229691509,5,dart,0.7888859700647797,0.7607850486168974,1.1225543951389925,0.026827251621760122,11,54,0.03854835899772805,88,COMPLETE
8,0.7598936681288462,2025-10-14 00:43:25.888323,2025-10-14 00:44:01.760915,0 days 00:00:35.872592,0.6571779905381634,4,gbdt,0.8545641645055122,0.907566473926093,0.4985844582977499,0.005301382389479432,-1,78,0.02051914615178149,24,COMPLETE
9,0.7593280898570334,2025-10-14 00:44:01.765213,2025-10-14 00:44:20.438566,0 days 00:00:18.673353,0.8167018782552118,7,gbdt,0.9232481518257668,0.8036720768991145,0.3731401177720717,0.009743645106784238,12,59,0.044627949924498894,32,COMPLETE
