feature	fold_1_mean_abs_shap	fold_1_rank	fold_2_mean_abs_shap	fold_2_rank	fold_3_mean_abs_shap	fold_3_rank	fold_4_mean_abs_shap	fold_4_rank	fold_5_mean_abs_shap	fold_5_rank	mean_abs_shap_all	mean_rank_all
DNase_tss_z_std	0.08250519919813178	1.0	0.07967111102365146	1.0	0.07972442063132143	1.0	0.08753161718583741	1.0	0.08401509742942034	1.0	0.08268948909367249	1.0
DNase_tss_autocorr	0.01977383948214348	2.0	0.013425450608904396	3.0	0.010968533771953478	4.0	0.01874985343839347	2.0	0.01621200845477448	2.0	0.015825937151233864	2.6
openness_index_rank	0.010660466077411971	5.0	0.012399188226681403	4.0	0.016147363875200865	2.0	0.012331623390477688	3.0	0.012780831167434293	3.0	0.012863894547441246	3.4
H3K4me3_gene_z_max	0.009217265026546607	6.0	0.007468036843381809	6.0	0.008258026889322546	6.0	0.009250855058122228	5.0	0.01063665404890999	4.0	0.008966167573256635	5.4
DNase_H3K4me3_interaction	0.00623263859226452	10.0	0.014432282360177741	2.0	0.01033541930534199	5.0	0.0050946137798851985	10.0	0.008712852626437464	6.0	0.008961561332821383	6.6
DNase_tss_z_mean_rank	0.013235860187646421	3.0	0.0031927563928282414	20.0	0.011331743141251238	3.0	0.012058762723403577	4.0	0.00646549833572079	8.0	0.009256924156170052	7.6
H3K4me3_axis_sum_rank	0.007818584126735178	8.0	0.006542785648031877	8.0	0.008180004687294537	7.0	0.005475187288037665	9.0	0.006259669093663901	10.0	0.006855246168752632	8.4
DNase_ratio_std	0.005809033693259752	12.0	0.006602344937719715	7.0	0.006642065337012835	8.0	0.006640404524161873	7.0	0.005551099220121248	11.0	0.006248989542455084	9.0
H3K27ac_tss_z_std	0.005654343223478979	13.0	0.005070215874603708	11.0	0.002898375628697727	23.0	0.004768486826635186	12.0	0.00833429637214788	7.0	0.005345143585112696	13.2
DNase_tss_z_mean	0.004264738711711722	16.0	0.005812477456419077	10.0	0.005455032890309971	11.0	0.0026339098958339693	23.0	0.005146277913050588	13.0	0.004662487373465066	14.6
H3K36me3_gene_z_max	0.005035226285352348	14.0	0.004338344090054009	13.0	0.00526561486764886	12.0	0.002713726091569607	22.0	0.002467987436235147	23.0	0.003964179754171994	16.8
H3K4me1_tss_entropy	0.004744986037584293	15.0	0.004063549253834844	14.0	0.003199952312241114	19.0	0.0029839750611133707	20.0	0.0028004763437871802	19.0	0.0035585878017121604	17.4
DNase_tss_slope	0.0040188115440231206	17.0	0.002494902653783838	23.0	0.003876173829396755	14.0	0.0042093727073530636	13.0	0.002059097919097906	28.0	0.0033316717307309363	19.0
H3K27me3_gene_z_mean	0.001985187822216924	42.0	0.004888661928195392	12.0	0.0021274581789264006	27.0	0.004931035352076549	11.0	0.006377650669020959	9.0	0.004061998790087245	20.2
H3K4me3_tss_autocorr	0.0028200478584597	28.0	0.00168685746572362	32.0	0.0058872948267662565	10.0	0.0038271441529634767	15.0	0.0034002389527556932	17.0	0.003524316651333749	20.4
H3K36me3_ratio_std	0.002504512984433454	32.0	0.00303039547925296	21.0	0.0028976081028084886	24.0	0.006509467196547483	8.0	0.0018932877606699526	30.0	0.0033670543047424673	23.0
H3K27me3_gene_z_mean_rank	0.003593248373150008	20.0	0.002294174716030341	26.0	0.001839469104053857	33.0	0.0027431128814634936	21.0	0.0032728566039019347	18.0	0.0027485723357199266	23.6
DNase_tss_entropy	0.0023490491255692123	36.0	0.0032383999752395322	19.0	0.003588085018118255	16.0	0.003635179667312478	17.0	0.0018163882476757314	31.0	0.002925420406783042	23.8
H3K36me3_gene_z_std_rank	0.002976547161960258	24.0	0.001980079299322377	27.0	0.003027626119823593	21.0	0.0014489592131251665	33.0	0.005046551821469252	14.0	0.002895952723140129	23.8
H3K36me3_promoter_body_delta	0.00294921156742465	26.0	0.001875630389154882	30.0	0.0023928975795517947	25.0	0.0037236163918464	16.0	0.0012368192931394835	39.0	0.002435635044223442	27.2
strand_is_plus	0.002956320382666581	25.0	0.0009632619546031874	43.0	0.0014971165488926457	34.0	0.0031607126064710687	19.0	0.002428790686518159	24.0	0.002201240435830328	29.0
H3K4me3_tss_z_mean	0.003210827706837685	22.0	0.003265825867339237	18.0	0.0032414755896017964	18.0	0.0012807985632536647	38.0	0.0009470539080009591	56.0	0.002389196327006669	30.4
H3K27me3_gene_z_std	0.003482337296625329	21.0	0.0012605215643763169	39.0	0.001927514136464435	31.0	0.0013853959535557526	36.0	0.0021376348682512203	27.0	0.002038680763854611	30.8
H3K36me3_H3K4me1_interaction	0.002191202768542012	38.0	0.0013657627877461337	38.0	0.0018739332217808328	32.0	0.002524153192069189	24.0	0.0022717663060651985	25.0	0.002045363655240673	31.4
DNase_H3K4me3_interaction_rank	0.0014233883867283334	55.0	0.0018552706436008467	31.0	0.0034897151462504276	17.0	0.0013083417049845037	37.0	0.002589996329182586	22.0	0.0021333424421493396	32.4
DNase_promoter_body_delta_rank	0.007877478928248928	7.0	0.0013719885128132753	37.0	0.0006889242024405519	63.0	0.0020846990788043595	26.0	0.0015278946819698015	34.0	0.0027101970808553833	33.4
H3K27ac_gene_autocorr	0.0059754557167371386	11.0	0.006408182185841857	9.0	0.005001178378188873	13.0	0.0002881058599950764	120.0	0.003459581308532698	16.0	0.004226500689859128	33.8
DNase_tss_slope_rank	0.0024170845297316695	35.0	0.001241478008243057	40.0	0.0007474479094222575	57.0	0.0018708519641202701	27.0	0.003934448995977725	15.0	0.002042262281498996	34.8
H3K9me3_gene_gradient_mean	0.0036061961142331823	19.0	0.0015492369481814867	35.0	0.0013624696350465878	40.0	0.002125518724853066	25.0	0.0008883203638861116	57.0	0.0019063483572400869	35.2
H3K4me3_tss_entropy	0.00736869660914795	9.0	0.003580747297732654	16.0	0.002302294098942343	26.0	0.0002802809775261911	123.0	0.005502450407971643	12.0	0.0038068938782641567	37.2
DNase_H3K36me3_interaction	0.0028009698873286467	29.0	0.0019474431818527409	28.0	0.003178608057007237	20.0	0.0005145592861540806	87.0	0.0019154280239585457	29.0	0.00207140168726025	38.6
H3K27ac_gene_z_max	0.001808136841912823	47.0	0.001594117312851276	33.0	0.00138023431804346	39.0	0.0010043299160540633	46.0	0.0016041336751920184	33.0	0.0014781904128107282	39.6
H3K27ac_tss_entropy	0.0018435326674571275	46.0	0.0006831141875877591	57.0	0.0029831965051027066	22.0	0.0034316507564922287	18.0	0.0008479940061159381	58.0	0.001957897624551152	40.2
H3K27ac_tss_z_std_rank	0.0011599307488301138	68.0	0.004057197070072934	15.0	0.0011125208477521069	44.0	0.0009123731925933186	52.0	0.002157049912632918	26.0	0.0018798143543762784	41.0
