number,value,datetime_start,datetime_complete,duration,params_alpha,params_booeval_metricster,params_booster,params_colsample_bytree,params_gamma,params_lambda,params_learning_rate,params_max_depth,params_max_leaves,params_min_child_weight,params_subsample,state
0,0.7407856278871825,2025-10-14 03:09:07.791588,2025-10-14 03:10:40.622948,0 days 00:01:32.831360,0.7080725777960455,rmse,dart,0.8404460046972835,0.04849549260809972,0.041168988591604894,0.007161246859115127,5,16,85,0.9330880728874675,COMPLETE
1,0.7565821831968275,2025-10-14 03:10:40.627734,2025-10-14 03:10:47.742123,0 days 00:00:07.114389,0.29214464853521815,mae,gbtree,0.6557975442608167,0.0228034992108518,0.7327236865873834,0.016738881542579662,7,48,81,0.8059264473611898,COMPLETE
2,0.7520419728488839,2025-10-14 03:10:47.742123,2025-10-14 03:12:09.997574,0 days 00:01:22.255451,0.8083973481164611,rmse,dart,0.9862528132298237,0.004883605700319194,0.6092275383467414,0.02025418890664837,5,16,72,0.9744427686266666,COMPLETE
3,0.7583149672415819,2025-10-14 03:12:10.013768,2025-10-14 03:12:14.675894,0 days 00:00:04.662126,0.5467102793432796,rmse,gbtree,0.8080272084711243,0.048479231388227934,0.3697089110510541,0.04057797837985251,5,88,80,0.6558555380447055,COMPLETE
4,0.739639702453354,2025-10-14 03:12:14.675894,2025-10-14 03:12:19.275710,0 days 00:00:04.599816,0.2713490317738959,mae,gbtree,0.7554709158757928,0.017837666334679463,1.6574750183038587,0.006130028679593762,5,16,35,0.6626651653816322,COMPLETE
5,0.758751427896817,2025-10-14 03:12:19.292335,2025-10-14 03:12:26.225832,0 days 00:00:06.933497,0.7068573438476171,rmse,gbtree,0.9261845713819337,0.03856351733429729,1.4580143360819746,0.048512866970603634,9,32,16,0.5027610585618012,COMPLETE
6,0.7446583634480906,2025-10-14 03:12:26.225832,2025-10-14 03:12:30.791913,0 days 00:00:04.566081,0.6375574713552131,rmse,gbtree,0.8918424713352255,0.023610746258097465,1.774425485152653,0.010711937478224529,4,48,20,0.6625916610133735,COMPLETE
7,0.7553144527889442,2025-10-14 03:12:30.796968,2025-10-14 03:14:06.692278,0 days 00:01:35.895310,0.03142918568673425,mae,dart,0.6431565707973218,0.015717799053816334,1.2728208225275608,0.015587110015023147,7,64,56,0.5127095633720475,COMPLETE
8,0.742633516883425,2025-10-14 03:14:06.711415,2025-10-14 03:14:11.408957,0 days 00:00:04.697542,0.808120379564417,mae,gbtree,0.9718790609370292,0.04357302950938589,1.266807513020847,0.008467752774648963,4,48,83,0.5806106436270022,COMPLETE
9,0.7579733493852936,2025-10-14 03:14:11.429009,2025-10-14 03:15:44.642107,0 days 00:01:33.213098,0.8180147659224931,mae,dart,0.7708431154505025,0.0003476065265595352,1.7214611665126869,0.03936056322262533,6,24,56,0.6139675812709708,COMPLETE
10,0.7595489845077837,2025-10-14 03:15:44.658757,2025-10-14 03:16:01.676845,0 days 00:00:17.018088,0.9638303602413416,rmse,gbtree,0.8921467580828037,0.036216023585876986,1.2244570397217807,0.024836352075448025,10,120,12,0.7876040334076363,COMPLETE
11,0.7600176439282668,2025-10-14 03:16:01.693593,2025-10-14 03:16:18.496316,0 days 00:00:16.802723,0.9627627512009025,rmse,gbtree,0.9070503990803166,0.0365693983053928,1.2806048608676428,0.04941730015974127,10,128,10,0.8015941064312865,COMPLETE
12,0.7596522369914149,2025-10-14 03:16:18.497217,2025-10-14 03:16:34.642162,0 days 00:00:16.144945,0.9952864344724965,rmse,gbtree,0.8731712692233561,0.033984834948173365,1.0237541608433303,0.026097585213276986,10,128,33,0.8223972680035051,COMPLETE
13,0.7587291203924459,2025-10-14 03:16:34.660277,2025-10-14 03:16:49.309144,0 days 00:00:14.648867,0.9994743916401554,rmse,gbtree,0.8457713660217816,0.03324940827133188,0.9368817643276128,0.027992466303747163,9,128,36,0.8626306053400459,COMPLETE
14,0.7620612766985444,2025-10-14 03:16:49.325935,2025-10-14 03:17:02.945166,0 days 00:00:13.619231,0.9100104138316634,rmse,gbtree,0.706761500830221,0.030312920186251178,1.9929993991769481,0.030591295989398117,10,104,32,0.8713160459968019,COMPLETE
15,0.7600593721139883,2025-10-14 03:17:02.952541,2025-10-14 03:17:14.989899,0 days 00:00:12.037358,0.3583902847905419,rmse,gbtree,0.7125657038315838,0.029298411278450343,1.9718295675180606,0.034280158328283704,9,104,27,0.8910376046301659,COMPLETE
16,0.7624905664509831,2025-10-14 03:17:14.996853,2025-10-14 03:17:24.109545,0 days 00:00:09.112692,0.3606791970055566,rmse,gbtree,0.6970036791086917,0.0285369790285674,1.9419942488952606,0.031249814804918247,8,104,45,0.8982393444710524,COMPLETE
17,0.7571274547911548,2025-10-14 03:17:24.116551,2025-10-14 03:17:35.342221,0 days 00:00:11.225670,0.43185778599967684,rmse,gbtree,0.6991427001957295,0.012702641532629837,1.9657232740052826,0.014445251534606672,8,96,42,0.9911995617562123,COMPLETE
18,0.7582277338209915,2025-10-14 03:17:35.342221,2025-10-14 03:19:12.678889,0 days 00:01:37.336668,0.1906860005249757,rmse,dart,0.6060084846502748,0.027124660449549993,1.5611209917708373,0.031378729666731164,8,80,100,0.7413273434269155,COMPLETE
19,0.7600495794664404,2025-10-14 03:19:12.685889,2025-10-14 03:19:22.586816,0 days 00:00:09.900927,0.5297220402342728,rmse,gbtree,0.7146205029914753,0.020705950403729228,1.9902765995575218,0.021238010502752012,8,112,47,0.9087487170731409,COMPLETE
20,0.7544745377075591,2025-10-14 03:19:22.593078,2025-10-14 03:19:32.567656,0 days 00:00:09.974578,0.11196127773788561,rmse,gbtree,0.6688928937053404,0.028218852376752597,1.8022986054914478,0.011425080636275562,9,72,47,0.7303995047845511,COMPLETE
21,0.7608650157740577,2025-10-14 03:19:32.575154,2025-10-14 03:19:45.525782,0 days 00:00:12.950628,0.4097530415257411,rmse,gbtree,0.7253205730194816,0.029910921497630565,1.9832065599439044,0.034273664229619014,9,104,25,0.8832782291690378,COMPLETE
22,0.7594099827072184,2025-10-14 03:19:45.542285,2025-10-14 03:19:56.818213,0 days 00:00:11.275928,0.4402439801600976,rmse,gbtree,0.7574256596814698,0.029222584958385978,1.4711670127686225,0.03890433639081438,8,104,25,0.8579818524992979,COMPLETE
23,0.7597184830099206,2025-10-14 03:19:56.825069,2025-10-14 03:20:08.609092,0 days 00:00:11.784023,0.3820002109687297,rmse,gbtree,0.7315392714582729,0.030472840361985342,1.8562576665743862,0.021339186075628,10,96,64,0.9301927331015785,COMPLETE
24,0.7611904550888389,2025-10-14 03:20:08.609092,2025-10-14 03:20:21.042348,0 days 00:00:12.433256,0.6094934702074953,rmse,gbtree,0.6845326361601665,0.04157825728783479,1.5901413180749038,0.030060959370530008,9,112,26,0.8540503736570288,COMPLETE
25,0.7604330854766974,2025-10-14 03:20:21.050833,2025-10-14 03:20:30.624505,0 days 00:00:09.573672,0.5766909227599273,rmse,gbtree,0.603130957729732,0.04057058106250295,1.6274766911443868,0.029649321586584242,8,112,43,0.9508778839512304,COMPLETE
