fold	val_chr	overall_spearman	chr	mean_spearman
1	chr2,chr7,chr12,chr17,chr22	0.7575966983081783	chr10	0.7519382612433845
1	chr2,chr7,chr12,chr17,chr22	0.7575966983081783	chr11	0.7729532306039022
1	chr2,chr7,chr12,chr17,chr22	0.7575966983081783	chr12	0.7714614297183916
1	chr2,chr7,chr12,chr17,chr22	0.7575966983081783	chr13	0.7133235154129401
1	chr2,chr7,chr12,chr17,chr22	0.7575966983081783	chr14	0.7728507788701671
1	chr2,chr7,chr12,chr17,chr22	0.7575966983081783	chr15	0.7663844249821389
1	chr2,chr7,chr12,chr17,chr22	0.7575966983081783	chr16	0.7390448779545814
1	chr2,chr7,chr12,chr17,chr22	0.7575966983081783	chr17	0.7520434856920575
1	chr2,chr7,chr12,chr17,chr22	0.7575966983081783	chr18	0.7770851729662346
1	chr2,chr7,chr12,chr17,chr22	0.7575966983081783	chr19	0.7333768923878022
1	chr2,chr7,chr12,chr17,chr22	0.7575966983081783	chr2	0.7565722944462244
1	chr2,chr7,chr12,chr17,chr22	0.7575966983081783	chr20	0.7471963970817886
1	chr2,chr7,chr12,chr17,chr22	0.7575966983081783	chr21	0.7296341957699657
1	chr2,chr7,chr12,chr17,chr22	0.7575966983081783	chr22	0.7281971236696358
1	chr2,chr7,chr12,chr17,chr22	0.7575966983081783	chr3	0.7738858905192892
1	chr2,chr7,chr12,chr17,chr22	0.7575966983081783	chr4	0.7548596458516817
1	chr2,chr7,chr12,chr17,chr22	0.7575966983081783	chr5	0.774081056533182
1	chr2,chr7,chr12,chr17,chr22	0.7575966983081783	chr6	0.7377563593063606
1	chr2,chr7,chr12,chr17,chr22	0.7575966983081783	chr7	0.760526842556696
1	chr2,chr7,chr12,chr17,chr22	0.7575966983081783	chr8	0.7578716805453314
1	chr2,chr7,chr12,chr17,chr22	0.7575966983081783	chr9	0.7661676832558266
2	chr3,chr8,chr13,chr18	0.7637254550834229	chr10	0.7519382612433845
2	chr3,chr8,chr13,chr18	0.7637254550834229	chr11	0.7729532306039022
2	chr3,chr8,chr13,chr18	0.7637254550834229	chr12	0.7714614297183916
2	chr3,chr8,chr13,chr18	0.7637254550834229	chr13	0.7133235154129401
2	chr3,chr8,chr13,chr18	0.7637254550834229	chr14	0.7728507788701671
2	chr3,chr8,chr13,chr18	0.7637254550834229	chr15	0.7663844249821389
2	chr3,chr8,chr13,chr18	0.7637254550834229	chr16	0.7390448779545814
2	chr3,chr8,chr13,chr18	0.7637254550834229	chr17	0.7520434856920575
2	chr3,chr8,chr13,chr18	0.7637254550834229	chr18	0.7770851729662346
2	chr3,chr8,chr13,chr18	0.7637254550834229	chr19	0.7333768923878022
2	chr3,chr8,chr13,chr18	0.7637254550834229	chr2	0.7565722944462244
2	chr3,chr8,chr13,chr18	0.7637254550834229	chr20	0.7471963970817886
2	chr3,chr8,chr13,chr18	0.7637254550834229	chr21	0.7296341957699657
2	chr3,chr8,chr13,chr18	0.7637254550834229	chr22	0.7281971236696358
2	chr3,chr8,chr13,chr18	0.7637254550834229	chr3	0.7738858905192892
2	chr3,chr8,chr13,chr18	0.7637254550834229	chr4	0.7548596458516817
2	chr3,chr8,chr13,chr18	0.7637254550834229	chr5	0.774081056533182
2	chr3,chr8,chr13,chr18	0.7637254550834229	chr6	0.7377563593063606
2	chr3,chr8,chr13,chr18	0.7637254550834229	chr7	0.760526842556696
2	chr3,chr8,chr13,chr18	0.7637254550834229	chr8	0.7578716805453314
2	chr3,chr8,chr13,chr18	0.7637254550834229	chr9	0.7661676832558266
3	chr4,chr9,chr14,chr19	0.7551677481060216	chr10	0.7519382612433845
3	chr4,chr9,chr14,chr19	0.7551677481060216	chr11	0.7729532306039022
