gene_name	chr	gene_start	gene_end	strand	TSS_start	TSS_end	gex	gex_rank	gex_group	gene_length	gene_center	TSS_center
MFSD10	chr4	2930561	2934834	-	2933897	2933947	3.5559628788229705	0.706951608941292	gex>0	4274	2932697	2933922
NOL11	chr17	67717931	67744531	+	67717930	67717980	516.864009792161	0.979765413903218	gex>0	26601	67731231	67717955
ATP6V0E1	chr5	172983771	173035445	+	172983815	172983865	251.560346900517	0.9549557848194546	gex>0	51675	173009608	172983840
SRFBP1	chr5	121961975	122075570	+	121961960	121962010	153.29083220872	0.9298084008843036	gex>0	113596	122018772	121961985
TCAIM	chr3	44338119	44409451	+	44338451	44338501	0.480535524165267	0.6075288626873004	gex>0	71333	44373785	44338476
MTFR2	chr6	136231024	136250335	-	136250274	136250324	273.809141669369	0.9586096782117416	gex>0	19312	136240679	136250299
CYBA	chr16	88643289	88651054	-	88651004	88651054	1557.0312054003	0.9953942520265292	gex>0	7766	88647171	88651029
C2CD5	chr12	22448583	22544546	-	22544496	22544546	9.80292469297144	0.7593650208793908	gex>0	95964	22496564	22544521
SPI1	chr11	47354860	47378547	-	47378526	47378576	41.3260550782129	0.8457688528617048	gex>0	23688	47366703	47378551
ST6GAL1	chr3	186930325	187078553	+	186930501	186930575	32.484201433572004	0.830385654630312	gex>0	148229	187004439	186930538
TPX2	chr20	31739271	31801805	+	31739270	31739320	437.479541200059	0.9751289609432572	gex>0	62535	31770538	31739295
SCOC	chr4	140257286	140385728	+	140343600	140343650	0.480535524165267	0.6075288626873004	gex>0	128443	140321507	140343625
GCN1	chr12	120127202	120194715	-	120177740	120177790	0.480535524165267	0.6075288626873004	gex>0	67514	120160958	120177765
TXNRD1	chr12	104215779	104350307	+	104286989	104287071	39.0194845622196	0.8416850896585606	gex>0	134529	104283043	104287030
DNAJC5	chr20	63895126	63936031	+	63895181	63895231	0.480535524165267	0.6075288626873004	gex>0	40906	63915578	63895206
PPP1R1C	chr2	181954241	182131398	+	181954495	181954608	0.480535524165267	0.6075288626873004	gex>0	177158	182042819	181954551
DNAJC12	chr10	67796669	67838188	-	67838116	67838166	8.16910391080953	0.749048145418816	gex>0	41520	67817428	67838141
HEXA	chr15	72340924	72376420	-	72375953	72376003	261.939914222487	0.9566752640628838	gex>0	35497	72358672	72375978
TUBA1B	chr12	49127782	49131397	-	49131347	49131397	13700.4522223711	0.9999385900270203	gex>0	3616	49129589	49131372
CTDSPL2	chr15	44427622	44529038	+	44519223	44519273	0.480535524165267	0.6075288626873004	gex>0	101417	44478330	44519248
MUC15	chr11	26559032	26572263	-	26572092	26572142	0.480535524165267	0.6075288626873004	gex>0	13232	26565647	26572117
PFKFB4	chr3	48517684	48562015	-	48561122	48561172	2.59489183049244	0.6914455907639401	gex>0	44332	48539849	48561147
H2BC7	chr6	26199516	26199988	+	26199519	26199569	50.3601229325199	0.8593097519037092	gex>0	473	26199752	26199544
EXOC2	chr6	485154	693139	-	693061	693111	41.9988048120443	0.8470277573077868	gex>0	207986	589146	693086
MAP3K8	chr10	30434021	30461833	+	30434020	30434070	42.3832332313765	0.8476725620240727	gex>0	27813	30447927	30434045
FAM227B	chr15	49326962	49620929	-	49620772	49620822	10.5717815316359	0.7635101940555146	gex>0	293968	49473945	49620797
RSBN1L	chr7	77696459	77783022	+	77696442	77696492	271.790892467875	0.9583026283468437	gex>0	86564	77739740	77696467
MFSD4B	chr6	111259327	111445354	+	111259347	111259397	36.088217864811504	0.8372021616310489	gex>0	186028	111352340	111259372
GATD1	chr11	767220	777488	-	777438	777488	53.2433360775115	0.8629022353230165	gex>0	10269	772354	777463
DTD1	chr20	18587942	18766644	+	18567452	18567502	147.043870394572	0.9277818717759764	gex>0	178703	18677293	18567477
PRTFDC1	chr10	24848614	24952606	-	24952554	24952604	8.553532330141751	0.7515045443380005	gex>0	103993	24900610	24952579
FRAS1	chr4	78057323	78544269	+	78057569	78057619	14.3199586201249	0.7798759518545811	gex>0	486947	78300796	78057594
PLSCR3	chr17	7389727	7394842	-	7394515	7394565	64.96840286714401	0.8761360845001228	gex>0	5116	7392284	7394540
MGLL	chr3	127689062	128052190	-	127791211	127822882	69.9659723184628	0.8821542618521248	gex>0	363129	127870626	127807046
FDX1	chr11	110429948	110464884	+	110429882	110429932	72.6569712537883	0.8849791206091869	gex>0	34937	110447416	110429907
TAGAP	chr6	159034468	159045152	-	159044968	159045018	13.0705662572953	0.7752702038811103	gex>0	10685	159039810	159044993
NOD1	chr7	30424527	30478784	-	30478688	30478738	23.1618122647658	0.8089535740604274	gex>0	54258	30451655	30478713
WDR19	chr4	39182504	39285810	+	39182503	39182553	14.3199586201249	0.7798759518545811	gex>0	103307	39234157	39182528
TM6SF1	chr15	83107572	83144854	+	83107647	83107697	7.111925757645951	0.7413104888233849	gex>0	37283	83126213	83107672
LSM11	chr5	157743712	157760709	+	157743694	157743744	15.7615651926207	0.7861704740849914	gex>0	16998	157752210	157743719
PSMB7	chr9	124353465	124415444	-	124415394	124415444	221.719090849854	0.9492139523458608	gex>0	61980	124384454	124415419
CASD1	chr7	94509219	94557019	+	94553851	94553901	0.480535524165267	0.6075288626873004	gex>0	47801	94533119	94553876
