fold	val_chr	overall_spearman	chr	mean_spearman
1	chr2,chr7,chr12,chr17,chr22	0.7568555795021348	chr10	0.7478618866487567
1	chr2,chr7,chr12,chr17,chr22	0.7568555795021348	chr11	0.7743457978128844
1	chr2,chr7,chr12,chr17,chr22	0.7568555795021348	chr12	0.7714490582289592
1	chr2,chr7,chr12,chr17,chr22	0.7568555795021348	chr13	0.6729894006682263
1	chr2,chr7,chr12,chr17,chr22	0.7568555795021348	chr14	0.765648326366867
1	chr2,chr7,chr12,chr17,chr22	0.7568555795021348	chr15	0.7636971362519904
1	chr2,chr7,chr12,chr17,chr22	0.7568555795021348	chr16	0.7312591277231633
1	chr2,chr7,chr12,chr17,chr22	0.7568555795021348	chr17	0.7504852487522403
1	chr2,chr7,chr12,chr17,chr22	0.7568555795021348	chr18	0.7649750511775802
1	chr2,chr7,chr12,chr17,chr22	0.7568555795021348	chr19	0.7330490968939931
1	chr2,chr7,chr12,chr17,chr22	0.7568555795021348	chr2	0.7487398621404239
1	chr2,chr7,chr12,chr17,chr22	0.7568555795021348	chr20	0.7483907866312102
1	chr2,chr7,chr12,chr17,chr22	0.7568555795021348	chr21	0.7144303377365661
1	chr2,chr7,chr12,chr17,chr22	0.7568555795021348	chr22	0.7356750072455691
1	chr2,chr7,chr12,chr17,chr22	0.7568555795021348	chr3	0.7714590919588793
1	chr2,chr7,chr12,chr17,chr22	0.7568555795021348	chr4	0.7560402901888872
1	chr2,chr7,chr12,chr17,chr22	0.7568555795021348	chr5	0.7810142459885172
1	chr2,chr7,chr12,chr17,chr22	0.7568555795021348	chr6	0.7320011294715577
1	chr2,chr7,chr12,chr17,chr22	0.7568555795021348	chr7	0.7652753184490273
1	chr2,chr7,chr12,chr17,chr22	0.7568555795021348	chr8	0.7572363505721214
1	chr2,chr7,chr12,chr17,chr22	0.7568555795021348	chr9	0.7617219603285873
2	chr3,chr8,chr13,chr18	0.7553579838325782	chr10	0.7478618866487567
2	chr3,chr8,chr13,chr18	0.7553579838325782	chr11	0.7743457978128844
2	chr3,chr8,chr13,chr18	0.7553579838325782	chr12	0.7714490582289592
2	chr3,chr8,chr13,chr18	0.7553579838325782	chr13	0.6729894006682263
2	chr3,chr8,chr13,chr18	0.7553579838325782	chr14	0.765648326366867
2	chr3,chr8,chr13,chr18	0.7553579838325782	chr15	0.7636971362519904
2	chr3,chr8,chr13,chr18	0.7553579838325782	chr16	0.7312591277231633
2	chr3,chr8,chr13,chr18	0.7553579838325782	chr17	0.7504852487522403
2	chr3,chr8,chr13,chr18	0.7553579838325782	chr18	0.7649750511775802
2	chr3,chr8,chr13,chr18	0.7553579838325782	chr19	0.7330490968939931
2	chr3,chr8,chr13,chr18	0.7553579838325782	chr2	0.7487398621404239
2	chr3,chr8,chr13,chr18	0.7553579838325782	chr20	0.7483907866312102
2	chr3,chr8,chr13,chr18	0.7553579838325782	chr21	0.7144303377365661
2	chr3,chr8,chr13,chr18	0.7553579838325782	chr22	0.7356750072455691
2	chr3,chr8,chr13,chr18	0.7553579838325782	chr3	0.7714590919588793
2	chr3,chr8,chr13,chr18	0.7553579838325782	chr4	0.7560402901888872
2	chr3,chr8,chr13,chr18	0.7553579838325782	chr5	0.7810142459885172
2	chr3,chr8,chr13,chr18	0.7553579838325782	chr6	0.7320011294715577
2	chr3,chr8,chr13,chr18	0.7553579838325782	chr7	0.7652753184490273
2	chr3,chr8,chr13,chr18	0.7553579838325782	chr8	0.7572363505721214
2	chr3,chr8,chr13,chr18	0.7553579838325782	chr9	0.7617219603285873
3	chr4,chr9,chr14,chr19	0.7524606907403569	chr10	0.7478618866487567
3	chr4,chr9,chr14,chr19	0.7524606907403569	chr11	0.7743457978128844
3	chr4,chr9,chr14,chr19	0.7524606907403569	chr12	0.7714490582289592
3	chr4,chr9,chr14,chr19	0.7524606907403569	chr13	0.6729894006682263
3	chr4,chr9,chr14,chr19	0.7524606907403569	chr14	0.765648326366867
3	chr4,chr9,chr14,chr19	0.7524606907403569	chr15	0.7636971362519904
3	chr4,chr9,chr14,chr19	0.7524606907403569	chr16	0.7312591277231633
3	chr4,chr9,chr14,chr19	0.7524606907403569	chr17	0.7504852487522403
3	chr4,chr9,chr14,chr19	0.7524606907403569	chr18	0.7649750511775802
3	chr4,chr9,chr14,chr19	0.7524606907403569	chr19	0.7330490968939931
3	chr4,chr9,chr14,chr19	0.7524606907403569	chr2	0.7487398621404239
3	chr4,chr9,chr14,chr19	0.7524606907403569	chr20	0.7483907866312102
3	chr4,chr9,chr14,chr19	0.7524606907403569	chr21	0.7144303377365661
3	chr4,chr9,chr14,chr19	0.7524606907403569	chr22	0.7356750072455691
3	chr4,chr9,chr14,chr19	0.7524606907403569	chr3	0.7714590919588793
3	chr4,chr9,chr14,chr19	0.7524606907403569	chr4	0.7560402901888872
3	chr4,chr9,chr14,chr19	0.7524606907403569	chr5	0.7810142459885172
3	chr4,chr9,chr14,chr19	0.7524606907403569	chr6	0.7320011294715577
3	chr4,chr9,chr14,chr19	0.7524606907403569	chr7	0.7652753184490273
3	chr4,chr9,chr14,chr19	0.7524606907403569	chr8	0.7572363505721214
3	chr4,chr9,chr14,chr19	0.7524606907403569	chr9	0.7617219603285873
4	chr5,chr10,chr15,chr20	0.7612774348075202	chr10	0.7478618866487567
4	chr5,chr10,chr15,chr20	0.7612774348075202	chr11	0.7743457978128844
4	chr5,chr10,chr15,chr20	0.7612774348075202	chr12	0.7714490582289592
4	chr5,chr10,chr15,chr20	0.7612774348075202	chr13	0.6729894006682263
4	chr5,chr10,chr15,chr20	0.7612774348075202	chr14	0.765648326366867
4	chr5,chr10,chr15,chr20	0.7612774348075202	chr15	0.7636971362519904
4	chr5,chr10,chr15,chr20	0.7612774348075202	chr16	0.7312591277231633
4	chr5,chr10,chr15,chr20	0.7612774348075202	chr17	0.7504852487522403
4	chr5,chr10,chr15,chr20	0.7612774348075202	chr18	0.7649750511775802
4	chr5,chr10,chr15,chr20	0.7612774348075202	chr19	0.7330490968939931
4	chr5,chr10,chr15,chr20	0.7612774348075202	chr2	0.7487398621404239
4	chr5,chr10,chr15,chr20	0.7612774348075202	chr20	0.7483907866312102
4	chr5,chr10,chr15,chr20	0.7612774348075202	chr21	0.7144303377365661
4	chr5,chr10,chr15,chr20	0.7612774348075202	chr22	0.7356750072455691
4	chr5,chr10,chr15,chr20	0.7612774348075202	chr3	0.7714590919588793
4	chr5,chr10,chr15,chr20	0.7612774348075202	chr4	0.7560402901888872
4	chr5,chr10,chr15,chr20	0.7612774348075202	chr5	0.7810142459885172
4	chr5,chr10,chr15,chr20	0.7612774348075202	chr6	0.7320011294715577
4	chr5,chr10,chr15,chr20	0.7612774348075202	chr7	0.7652753184490273
4	chr5,chr10,chr15,chr20	0.7612774348075202	chr8	0.7572363505721214
