gene_name	chr	predicted_gex_rank
SLC20A1	chr2	0.43488748661800375
POMC	chr2	0.4900842422668997
ALK	chr2	0.35351817608859115
GTF3C2	chr2	0.40271773970316255
PTPN18	chr2	0.3126788542094624
RGPD4	chr2	0.314790069632361
OST4	chr2	0.6959990597053085
NDUFS1	chr2	0.6777769732877708
GRHL1	chr2	0.6279870229198549
CALM2	chr2	0.6804901093946878
FAM126B	chr2	0.3450288525011903
SH3BP4	chr2	0.40062503966549157
DOCK10	chr2	0.3096212567479525
GTF2A1L	chr2	0.32573549897076
ASPRV1	chr2	0.28840746771245385
PKDCC	chr2	0.49379015524181724
DYNC2LI1	chr2	0.4927986169622739
CIAO1	chr2	0.7505852505336152
CERKL	chr2	0.44332526901157365
ITGB1BP1	chr2	0.3993885905217451
CGREF1	chr2	0.4595809394720323
DTYMK	chr2	0.7481476366282607
ARMC9	chr2	0.7469883870821714
DUSP19	chr2	0.5580476593566777
ATG16L1	chr2	0.681295994295831
MAP4K3	chr2	0.7675018394768818
REG3A	chr2	0.2971536787396083
SPATS2L	chr2	0.5279829034093207
LYG1	chr2	0.3064756231459131
SUMO1	chr2	0.8042452613753479
CD302	chr2	0.4335367221306754
ZNF514	chr2	0.48723615610535403
NCK2	chr2	0.6984729200780431
IL1R2	chr2	0.30873936563809545
DYNC1I2	chr2	0.5300280269903273
VIT	chr2	0.3807201157852423
MOB4	chr2	0.8146926547060188
KCTD18	chr2	0.7412066624131837
MSGN1	chr2	0.3042985851499162
MYT1L	chr2	0.33584211816799925
CRIM1	chr2	0.667522117525875
TFPI	chr2	0.3619602276824795
HES6	chr2	0.5383116111828138
NR4A2	chr2	0.6130233443335038
GALNT14	chr2	0.4705897007926951
HADHB	chr2	0.6739993066797453
GLI2	chr2	0.5363196056355282
MTHFD2	chr2	0.8019567729154395
UNC50	chr2	0.42400709274866016
PLEKHH2	chr2	0.637199878474213
IL1RL1	chr2	0.31726143407574314
NOSTRIN	chr2	0.32461141644270364
LANCL1	chr2	0.5974861031351906
CCDC121	chr2	0.5601255668343035
HOXD4	chr2	0.3238823251307355
G6PC2	chr2	0.31460701011359166
DPP4	chr2	0.4156080599298013
PTH2R	chr2	0.36262222816746825
GPR35	chr2	0.34136302950463016
YPEL5	chr2	0.6085718696627455
LRRTM4	chr2	0.5659886658689203
NPHP1	chr2	0.6435738512260512
HAT1	chr2	0.6990877968444021
GYPC	chr2	0.4682756725329975
TMEM37	chr2	0.65312624983355
KLHL41	chr2	0.31594936349101366
RUFY4	chr2	0.3736091642451308
KCNJ3	chr2	0.4958270880724596
MBOAT2	chr2	0.7597392514925699
PRLH	chr2	0.34938774115957333
DNMT3A	chr2	0.8150879662831507
HSPD1	chr2	0.4286514318584664
UGGT1	chr2	0.4464657703323812
FAM228B	chr2	0.6953134383179014
TMEM178A	chr2	0.5508142146300438
SMYD1	chr2	0.3428067198008169
KCNG3	chr2	0.7212936090039326
RNF103	chr2	0.6192070324561498
BOK	chr2	0.6248277153130322
MCFD2	chr2	0.4135572752294248
IWS1	chr2	0.3567019642305232
USP34	chr2	0.36792663781271945
WDSUB1	chr2	0.7205507268055709
GFPT1	chr2	0.8059756653328242
MAPRE3	chr2	0.34689592065905883
STK17B	chr2	0.5848792534088135
PAPOLG	chr2	0.38899693193170337
AFF3	chr2	0.30431244641335686
CBWD2	chr2	0.31758178293153555
WNT10A	chr2	0.39535361950512
MTERF4	chr2	0.743222252085409
FAM110C	chr2	0.5896116956918267
NOL10	chr2	0.3687799372013143
ALS2	chr2	0.6589738127666058
COPS9	chr2	0.37614229932769355
SOWAHC	chr2	0.5565137312875332
FLACC1	chr2	0.308560824716468
UGT1A10	chr2	0.30987714437847014
IL36B	chr2	0.3051936508719664
VAMP5	chr2	0.3915732339889216
CHAC2	chr2	0.5883570011628778
GPR75	chr2	0.6244944988019384
ANKRD53	chr2	0.32092403607977976
IL1R1	chr2	0.34899874510443507
HJURP	chr2	0.7745686860087238
GPR55	chr2	0.31580182327362794
DNAJC5G	chr2	0.31097669380146914
PLEK	chr2	0.31453733518532845
RPS27A	chr2	0.7167087369251852
TPRKB	chr2	0.7195837414559466
CNTNAP5	chr2	0.6363480657023481
C2orf74	chr2	0.6222057225762759
DARS1	chr2	0.3322353108003827
DPP10	chr2	0.5669766552002955
CAPN13	chr2	0.3359740655377271
RRM2	chr2	0.7312428994998743
C2orf92	chr2	0.32743005265221015
SEPTIN10	chr2	0.6841897797100078
TTC32	chr2	0.6098926442932999
RBM45	chr2	0.36940668942639043
MFSD9	chr2	0.38642439965330483
SMYD5	chr2	0.3805514603915695
PTPN4	chr2	0.80141840326693
REG3G	chr2	0.31808981380930246
RPL37A	chr2	0.681440956738353
HS6ST1	chr2	0.636471798190041
SLC11A1	chr2	0.33053294492067786
SP3	chr2	0.6787338395657432
RDH14	chr2	0.7420464951948607
ASIC4	chr2	0.31824468288662394
EIPR1	chr2	0.377560553497548
SPATA3	chr2	0.30546258077346944
GALNT5	chr2	0.32970980899000873
FZD7	chr2	0.6646862310432977
EML4	chr2	0.37949864516166826
ANKRD36	chr2	0.4904931976056794
POLR2D	chr2	0.77264220178011
PAIP2B	chr2	0.6369451996817268
FAM136A	chr2	0.6558045178109516
LRP2	chr2	0.31071876085909483
GTF3C3	chr2	0.5307386706041795
FASTKD1	chr2	0.3787965676124601
WIPF1	chr2	0.32297689122154716
FAM171B	chr2	0.7698975314405777
GEN1	chr2	0.4665792827080558
ABHD1	chr2	0.4540886781041539
FBXO36	chr2	0.6539617768765381
COL4A4	chr2	0.4903873661124488
PSMD14	chr2	0.6526743234697889
MGAT5	chr2	0.731188720981872
SNED1	chr2	0.34331074604050293
FEZ2	chr2	0.5354607161364938
CREG2	chr2	0.4644873308772558
POTEI	chr2	0.29801332933485924
RPIA	chr2	0.7483519033489122
CEBPZOS	chr2	0.46227987552632654
C2orf72	chr2	0.48724545079160214
ATP6V1C2	chr2	0.3396684855907396
VSNL1	chr2	0.600576524167239
TMEM150A	chr2	0.7808038794281174
HNMT	chr2	0.33015038350319426
GRB14	chr2	0.3412911152290436
PDE1A	chr2	0.3134699198551575
ASTL	chr2	0.4482468368114542
UGT1A7	chr2	0.30356715629772324
MARS2	chr2	0.7259333897398846
ORC2	chr2	0.8092320235176654
PHOSPHO2	chr2	0.6588269527513205
FAHD2A	chr2	0.6997175843911851
SERPINE2	chr2	0.39075409226425306
NRXN1	chr2	0.6326954004630301
RAB17	chr2	0.5745096955239615
DTNB	chr2	0.31628106338455336
SRSF7	chr2	0.7483736106054295
ZC3H15	chr2	0.7625200161349225
SCN1A	chr2	0.3197660171662033
SULT6B1	chr2	0.4736707049268033
TRIM43B	chr2	0.3017712408178319
EFHD1	chr2	0.3017742930754626
ARID5A	chr2	0.39505830046547646
ATIC	chr2	0.7259532736878114
MYO1B	chr2	0.6626181369019628
GPR155	chr2	0.626655340143827
CCNYL1	chr2	0.36198240079754085
MTX2	chr2	0.7277641404346271
TTL	chr2	0.6076651165889883
ATAD2B	chr2	0.3189371214630407
RABL2A	chr2	0.4615114022276785
PIKFYVE	chr2	0.8062168151966709
ARPC2	chr2	0.7778208243827713
MITD1	chr2	0.3917381486966015
IL37	chr2	0.30584920292644735
CFC1	chr2	0.3100722631961597
KRCC1	chr2	0.7240571852414687
PLCL1	chr2	0.3222236330037157
CD8B	chr2	0.32825387843708703
PGAP1	chr2	0.3604902867127445
TSN	chr2	0.725066336176851
CCDC115	chr2	0.6396997704495166
CSRNP3	chr2	0.5366036507737281
MAIP1	chr2	0.665362674759229
TM4SF20	chr2	0.31414339214164544
RFX8	chr2	0.37660544079528196
PPP3R1	chr2	0.4008586419862216
SESTD1	chr2	0.7303025788284527
ADGRF3	chr2	0.4526559211272415
FAM237A	chr2	0.308726195676473
C2CD6	chr2	0.41317661754191404
RMND5A	chr2	0.3965471115442224
BCL11A	chr2	0.6318136233139396
UBE2F	chr2	0.7188584968596126
HNRNPA3	chr2	0.8008353536896017
SLC35F5	chr2	0.35487069770068885
