gene_name	chr	predicted_gex_rank
SLC20A1	chr2	0.4551545657730924
POMC	chr2	0.4728731538125851
ALK	chr2	0.32116569698437036
GTF3C2	chr2	0.4100724633256171
PTPN18	chr2	0.3270844275082921
RGPD4	chr2	0.31201601015768854
OST4	chr2	0.6979748840337484
NDUFS1	chr2	0.7444928236653119
GRHL1	chr2	0.5764798246624132
CALM2	chr2	0.6449762173945399
FAM126B	chr2	0.33546280933724043
SH3BP4	chr2	0.3606562753064277
DOCK10	chr2	0.31489060825068227
GTF2A1L	chr2	0.31892291640640336
ASPRV1	chr2	0.2885516730365771
PKDCC	chr2	0.4333759774030013
DYNC2LI1	chr2	0.48396658355823935
CIAO1	chr2	0.7563667197470113
CERKL	chr2	0.44070911151724557
ITGB1BP1	chr2	0.3692876789386953
CGREF1	chr2	0.42349036365666953
DTYMK	chr2	0.711978955710417
ARMC9	chr2	0.7574560685955307
DUSP19	chr2	0.5233478365810152
ATG16L1	chr2	0.7834611104506851
MAP4K3	chr2	0.7888772273546346
REG3A	chr2	0.31159740718019135
SPATS2L	chr2	0.4883514576483664
LYG1	chr2	0.3006287293084767
SUMO1	chr2	0.789826273372349
CD302	chr2	0.4578134377098143
ZNF514	chr2	0.46381927642739046
NCK2	chr2	0.7206613209949072
IL1R2	chr2	0.31773158595823425
DYNC1I2	chr2	0.5568919731283526
VIT	chr2	0.345963961014465
MOB4	chr2	0.88823964811656
KCTD18	chr2	0.7894829968694281
MSGN1	chr2	0.3136156395909465
MYT1L	chr2	0.32352484702614376
CRIM1	chr2	0.7000103037874542
TFPI	chr2	0.35984936253144223
HES6	chr2	0.525267998699539
NR4A2	chr2	0.5713839456277399
GALNT14	chr2	0.4197465645956219
HADHB	chr2	0.718900484132683
GLI2	chr2	0.47829008101994186
MTHFD2	chr2	0.8318983207619521
UNC50	chr2	0.4035228328496997
PLEKHH2	chr2	0.6233862822955955
IL1RL1	chr2	0.3079151968696566
NOSTRIN	chr2	0.3167413396972597
LANCL1	chr2	0.5852680569281493
CCDC121	chr2	0.5167909422727922
HOXD4	chr2	0.31075735980154084
G6PC2	chr2	0.3070398206628121
DPP4	chr2	0.38495218807376447
PTH2R	chr2	0.33466409273234277
GPR35	chr2	0.3191430777974314
YPEL5	chr2	0.6069536658874316
LRRTM4	chr2	0.5050544462554843
NPHP1	chr2	0.652715391259766
HAT1	chr2	0.762110449433436
GYPC	chr2	0.4423897536058753
TMEM37	chr2	0.6280830200182663
KLHL41	chr2	0.30962452103018867
RUFY4	chr2	0.3339010606835471
