test_chr	spearman
chr2	0.7568910840781691
chr3	0.7787937423103027
chr4	0.7648086135634706
chr5	0.781522389056903
chr6	0.738247992754664
chr7	0.7682232349590664
chr8	0.7629187540011673
chr9	0.761775895803909
chr10	0.7509351105921236
chr11	0.7793706276185948
chr12	0.7811819624205512
chr13	0.7071239194526135
chr14	0.7728325805691391
chr15	0.775222004299927
chr16	0.7361982364171986
chr17	0.7609609721658813
chr18	0.780333269058965
chr19	0.7367449663379317
chr20	0.750662898335001
chr21	0.7357265983506406
chr22	0.7461491685292494
