fold	val_chr	overall_spearman	chr	mean_spearman
1	chr2,chr7,chr12,chr17,chr22	0.7576487199178545	chr10	0.7468071863734463
1	chr2,chr7,chr12,chr17,chr22	0.7576487199178545	chr11	0.7707752132306499
1	chr2,chr7,chr12,chr17,chr22	0.7576487199178545	chr12	0.771076931161965
1	chr2,chr7,chr12,chr17,chr22	0.7576487199178545	chr13	0.6729115156895553
1	chr2,chr7,chr12,chr17,chr22	0.7576487199178545	chr14	0.765949119160625
1	chr2,chr7,chr12,chr17,chr22	0.7576487199178545	chr15	0.7613238875498753
1	chr2,chr7,chr12,chr17,chr22	0.7576487199178545	chr16	0.7331649754428488
1	chr2,chr7,chr12,chr17,chr22	0.7576487199178545	chr17	0.7560111857905025
1	chr2,chr7,chr12,chr17,chr22	0.7576487199178545	chr18	0.7567320085370787
1	chr2,chr7,chr12,chr17,chr22	0.7576487199178545	chr19	0.7307045270510855
1	chr2,chr7,chr12,chr17,chr22	0.7576487199178545	chr2	0.7511258513556117
1	chr2,chr7,chr12,chr17,chr22	0.7576487199178545	chr20	0.7410495573586339
1	chr2,chr7,chr12,chr17,chr22	0.7576487199178545	chr21	0.700957284343043
1	chr2,chr7,chr12,chr17,chr22	0.7576487199178545	chr22	0.7403221610979605
1	chr2,chr7,chr12,chr17,chr22	0.7576487199178545	chr3	0.7666717873335821
1	chr2,chr7,chr12,chr17,chr22	0.7576487199178545	chr4	0.7565506809892636
1	chr2,chr7,chr12,chr17,chr22	0.7576487199178545	chr5	0.7817759958420146
1	chr2,chr7,chr12,chr17,chr22	0.7576487199178545	chr6	0.7345185016564054
1	chr2,chr7,chr12,chr17,chr22	0.7576487199178545	chr7	0.7586323749024839
1	chr2,chr7,chr12,chr17,chr22	0.7576487199178545	chr8	0.7525251673095782
1	chr2,chr7,chr12,chr17,chr22	0.7576487199178545	chr9	0.7525836942639169
2	chr3,chr8,chr13,chr18	0.7506031971978663	chr10	0.7468071863734463
2	chr3,chr8,chr13,chr18	0.7506031971978663	chr11	0.7707752132306499
2	chr3,chr8,chr13,chr18	0.7506031971978663	chr12	0.771076931161965
2	chr3,chr8,chr13,chr18	0.7506031971978663	chr13	0.6729115156895553
2	chr3,chr8,chr13,chr18	0.7506031971978663	chr14	0.765949119160625
2	chr3,chr8,chr13,chr18	0.7506031971978663	chr15	0.7613238875498753
2	chr3,chr8,chr13,chr18	0.7506031971978663	chr16	0.7331649754428488
2	chr3,chr8,chr13,chr18	0.7506031971978663	chr17	0.7560111857905025
2	chr3,chr8,chr13,chr18	0.7506031971978663	chr18	0.7567320085370787
2	chr3,chr8,chr13,chr18	0.7506031971978663	chr19	0.7307045270510855
2	chr3,chr8,chr13,chr18	0.7506031971978663	chr2	0.7511258513556117
2	chr3,chr8,chr13,chr18	0.7506031971978663	chr20	0.7410495573586339
2	chr3,chr8,chr13,chr18	0.7506031971978663	chr21	0.700957284343043
2	chr3,chr8,chr13,chr18	0.7506031971978663	chr22	0.7403221610979605
2	chr3,chr8,chr13,chr18	0.7506031971978663	chr3	0.7666717873335821
2	chr3,chr8,chr13,chr18	0.7506031971978663	chr4	0.7565506809892636
2	chr3,chr8,chr13,chr18	0.7506031971978663	chr5	0.7817759958420146
2	chr3,chr8,chr13,chr18	0.7506031971978663	chr6	0.7345185016564054
2	chr3,chr8,chr13,chr18	0.7506031971978663	chr7	0.7586323749024839
2	chr3,chr8,chr13,chr18	0.7506031971978663	chr8	0.7525251673095782
2	chr3,chr8,chr13,chr18	0.7506031971978663	chr9	0.7525836942639169
3	chr4,chr9,chr14,chr19	0.7501595673530361	chr10	0.7468071863734463
3	chr4,chr9,chr14,chr19	0.7501595673530361	chr11	0.7707752132306499
3	chr4,chr9,chr14,chr19	0.7501595673530361	chr12	0.771076931161965
3	chr4,chr9,chr14,chr19	0.7501595673530361	chr13	0.6729115156895553
3	chr4,chr9,chr14,chr19	0.7501595673530361	chr14	0.765949119160625
3	chr4,chr9,chr14,chr19	0.7501595673530361	chr15	0.7613238875498753
3	chr4,chr9,chr14,chr19	0.7501595673530361	chr16	0.7331649754428488
3	chr4,chr9,chr14,chr19	0.7501595673530361	chr17	0.7560111857905025
3	chr4,chr9,chr14,chr19	0.7501595673530361	chr18	0.7567320085370787
3	chr4,chr9,chr14,chr19	0.7501595673530361	chr19	0.7307045270510855
3	chr4,chr9,chr14,chr19	0.7501595673530361	chr2	0.7511258513556117
3	chr4,chr9,chr14,chr19	0.7501595673530361	chr20	0.7410495573586339
3	chr4,chr9,chr14,chr19	0.7501595673530361	chr21	0.700957284343043
3	chr4,chr9,chr14,chr19	0.7501595673530361	chr22	0.7403221610979605
3	chr4,chr9,chr14,chr19	0.7501595673530361	chr3	0.7666717873335821
3	chr4,chr9,chr14,chr19	0.7501595673530361	chr4	0.7565506809892636
3	chr4,chr9,chr14,chr19	0.7501595673530361	chr5	0.7817759958420146
3	chr4,chr9,chr14,chr19	0.7501595673530361	chr6	0.7345185016564054
3	chr4,chr9,chr14,chr19	0.7501595673530361	chr7	0.7586323749024839
3	chr4,chr9,chr14,chr19	0.7501595673530361	chr8	0.7525251673095782
3	chr4,chr9,chr14,chr19	0.7501595673530361	chr9	0.7525836942639169
4	chr5,chr10,chr15,chr20	0.7588561193472695	chr10	0.7468071863734463
4	chr5,chr10,chr15,chr20	0.7588561193472695	chr11	0.7707752132306499
4	chr5,chr10,chr15,chr20	0.7588561193472695	chr12	0.771076931161965
4	chr5,chr10,chr15,chr20	0.7588561193472695	chr13	0.6729115156895553
4	chr5,chr10,chr15,chr20	0.7588561193472695	chr14	0.765949119160625
4	chr5,chr10,chr15,chr20	0.7588561193472695	chr15	0.7613238875498753
4	chr5,chr10,chr15,chr20	0.7588561193472695	chr16	0.7331649754428488
4	chr5,chr10,chr15,chr20	0.7588561193472695	chr17	0.7560111857905025
4	chr5,chr10,chr15,chr20	0.7588561193472695	chr18	0.7567320085370787
4	chr5,chr10,chr15,chr20	0.7588561193472695	chr19	0.7307045270510855
4	chr5,chr10,chr15,chr20	0.7588561193472695	chr2	0.7511258513556117
4	chr5,chr10,chr15,chr20	0.7588561193472695	chr20	0.7410495573586339
4	chr5,chr10,chr15,chr20	0.7588561193472695	chr21	0.700957284343043
4	chr5,chr10,chr15,chr20	0.7588561193472695	chr22	0.7403221610979605
4	chr5,chr10,chr15,chr20	0.7588561193472695	chr3	0.7666717873335821
4	chr5,chr10,chr15,chr20	0.7588561193472695	chr4	0.7565506809892636
4	chr5,chr10,chr15,chr20	0.7588561193472695	chr5	0.7817759958420146
4	chr5,chr10,chr15,chr20	0.7588561193472695	chr6	0.7345185016564054
4	chr5,chr10,chr15,chr20	0.7588561193472695	chr7	0.7586323749024839
4	chr5,chr10,chr15,chr20	0.7588561193472695	chr8	0.7525251673095782
4	chr5,chr10,chr15,chr20	0.7588561193472695	chr9	0.7525836942639169
5	chr6,chr11,chr16,chr21	0.7508297344397951	chr10	0.7468071863734463
5	chr6,chr11,chr16,chr21	0.7508297344397951	chr11	0.7707752132306499
5	chr6,chr11,chr16,chr21	0.7508297344397951	chr12	0.771076931161965
5	chr6,chr11,chr16,chr21	0.7508297344397951	chr13	0.6729115156895553
5	chr6,chr11,chr16,chr21	0.7508297344397951	chr14	0.765949119160625
5	chr6,chr11,chr16,chr21	0.7508297344397951	chr15	0.7613238875498753
5	chr6,chr11,chr16,chr21	0.7508297344397951	chr16	0.7331649754428488
5	chr6,chr11,chr16,chr21	0.7508297344397951	chr17	0.7560111857905025
5	chr6,chr11,chr16,chr21	0.7508297344397951	chr18	0.7567320085370787
5	chr6,chr11,chr16,chr21	0.7508297344397951	chr19	0.7307045270510855
5	chr6,chr11,chr16,chr21	0.7508297344397951	chr2	0.7511258513556117
5	chr6,chr11,chr16,chr21	0.7508297344397951	chr20	0.7410495573586339
5	chr6,chr11,chr16,chr21	0.7508297344397951	chr21	0.700957284343043
5	chr6,chr11,chr16,chr21	0.7508297344397951	chr22	0.7403221610979605
5	chr6,chr11,chr16,chr21	0.7508297344397951	chr3	0.7666717873335821
5	chr6,chr11,chr16,chr21	0.7508297344397951	chr4	0.7565506809892636
5	chr6,chr11,chr16,chr21	0.7508297344397951	chr5	0.7817759958420146
5	chr6,chr11,chr16,chr21	0.7508297344397951	chr6	0.7345185016564054
5	chr6,chr11,chr16,chr21	0.7508297344397951	chr7	0.7586323749024839
5	chr6,chr11,chr16,chr21	0.7508297344397951	chr8	0.7525251673095782
5	chr6,chr11,chr16,chr21	0.7508297344397951	chr9	0.7525836942639169
