gene_name	chr	gene_start	gene_end	TSS_start	TSS_end	strand	gex
SLC20A1	chr2	112645939	112663825	112658362	112658412	+	0.0
C11orf58	chr11	16613132	16758340	16738643	16738693	+	2906.14533973896
ZSCAN9	chr6	28224886	28233487	28225263	28225313	+	9.414950191551
CD19	chr16	28931965	28939342	28931967	28932017	+	0.0
TMEM123	chr11	102396332	102470384	102452789	102452839	-	26.9959286104677
POMC	chr2	25160853	25168903	25168640	25168690	-	1.7292765657950802
NME2	chr17	51165435	51171744	51169382	51169432	+	0.0
CEP120	chr5	123344890	123423592	123423542	123423592	-	0.480354601609745
FBXO4	chr5	41925254	41941743	41925253	41925303	+	0.672496442253643
GRIA1	chr5	153489615	153813869	153492171	153492221	+	0.0
GALNT9	chr12	132196372	132328920	132257692	132257742	-	0.0
AKAIN1	chr18	5142911	5197503	5197453	5197503	-	0.0
SYCE1L	chr16	77199408	77213215	77199396	77199446	+	0.096070920321949
GOLGA8S	chr15	23354748	23367231	23354747	23354797	+	0.0
CAST	chr5	96525267	96779595	96702805	96702855	+	281.583867463633
FBXW12	chr3	48372219	48401259	48379736	48379786	+	0.0
DIRAS2	chr9	90609832	90642862	90643054	90643104	-	0.0
WDR7	chr18	56651343	57029811	56890832	56890882	+	0.0
MMP1	chr11	102789401	102798160	102798110	102798160	-	0.0
SREBF2	chr22	41833079	41907307	41885595	41885645	+	0.096070920321949
SLC38A3	chr3	50205246	50221486	50205245	50205295	+	2.11356024708288
PCDHGA11	chr5	141421047	141512975	141421046	141421096	+	7.397460864790079
ZNF707	chr8	143684452	143713898	143684461	143684511	+	18.7338294627801
ACTR6	chr12	100199122	100241865	100199121	100199171	+	0.096070920321949
POLR3K	chr16	46407	53608	52092	52142	-	0.0
POLR2F	chr22	37952607	38041915	37953662	37953712	+	256.125073578316
CSDC2	chr22	41561010	41577741	41572016	41572066	+	0.0
POGLUT3	chr11	108472112	108498384	108486187	108486237	-	0.096070920321949
ASB16	chr17	44170447	44179084	44170705	44170755	+	0.0
GRIK2	chr6	100962701	102081622	101927778	101927828	+	0.0
LY6G6E	chr6	31711771	31714065	31713762	31713812	-	0.0
