gene_name	chr	gene_start	gene_end	TSS_start	TSS_end	strand	gex
ADH7	chr4	99412261	99435510	99430241	99430291	-	0.0
TMEM129	chr4	1715952	1721358	1717859	1717909	-	0.0
CCDC110	chr4	185445182	185471752	185471709	185471759	-	0.0
UCHL1	chr4	41256413	41268455	41256910	41256960	+	2.59489183049244
HPSE	chr4	83292461	83335153	83335103	83335153	-	0.0
ADAD1	chr4	122378966	122429802	122379442	122379492	+	0.0
MTNR1A	chr4	186533655	186555567	186555517	186555567	-	0.0
TMEM192	chr4	165070608	165208549	165208499	165208549	-	0.0
PDE5A	chr4	119494397	119628804	119519592	119519642	-	0.0
SMIM31	chr4	164754064	164803795	164754063	164754113	+	0.0
CYP4V2	chr4	186191567	186213463	186191519	186191569	+	4.03649840298824
UGT2B28	chr4	69280475	69295050	69280498	69280548	+	0.0
RPL34	chr4	108620569	108630412	108620589	108620639	+	134.598000318691
RASGEF1B	chr4	81426393	82044244	81471865	81471915	-	2.1143563063271698
GAB1	chr4	143336762	143474568	143438256	143438306	+	0.0
ADH1A	chr4	99276369	99291003	99290953	99291003	-	0.0
PF4V1	chr4	73853296	73854483	73853188	73853238	+	0.0
MARCHF1	chr4	163524298	164384050	164383985	164384035	-	0.0
LRP2BP	chr4	185363872	185395924	185395849	185395899	-	0.480535524165267
QRFPR	chr4	121328642	121381059	121380629	121380679	-	0.0
USP17L5	chr4	9339403	9340995	9339402	9339452	+	0.0
COX18	chr4	73052362	73069755	73069705	73069755	-	68.09188377421829
CLDN24	chr4	183321764	183322426	183322376	183322426	-	0.0
USP17L10	chr4	9210657	9212249	9210656	9210706	+	0.0
CEP44	chr4	174283730	174333380	174299069	174299119	+	0.0
SLBP	chr4	1692731	1712344	1712294	1712344	-	88.51464355124209
SGCB	chr4	52020706	52038299	52038226	52038245	-	0.0
TLL1	chr4	165873237	166104457	165873257	165873307	+	0.0
SCLT1	chr4	128864921	129093600	129093327	129093377	-	1.63382078216191
NUDT6	chr4	122888697	122922968	122922556	122922606	-	26.0450254097574
TRAM1L1	chr4	117083554	117085576	117085526	117085576	-	0.0
HTRA3	chr4	8269754	8307098	8269764	8269814	+	0.0
GC	chr4	71741696	71804041	71785960	71786010	-	0.0
SHROOM3	chr4	76435229	76783253	76586312	76586362	+	0.0
LDB2	chr4	16501541	16898678	16507177	16507227	-	0.0
SLC30A9	chr4	41990502	42090461	42070188	42070238	+	0.0
HAND2	chr4	173524969	173530229	173530179	173530229	-	0.0
