gene_name	chr	gene_start	gene_end	strand	TSS_start	TSS_end
A1BG	chr19	58345178	58353492	-	58353079	58353129
A1CF	chr10	50799409	50885675	-	50828411	50828461
A2M	chr12	9067664	9116229	-	9106246	9106296
A2ML1	chr12	8822621	8887001	+	8822471	8845003
A4GALT	chr22	42692121	42721298	-	42695583	42721298
A4GNT	chr3	138123713	138132390	-	138132337	138132387
AAAS	chr12	53307456	53324864	-	53321207	53321257
AACS	chr12	125065434	125143333	+	125135789	125135839
AADAC	chr3	151814073	151828488	+	151814036	151814086
AADACL2	chr3	151744454	151770036	+	151733926	151733976
AADAT	chr4	170060222	170091699	-	170088395	170088430
AAGAB	chr15	67200667	67255195	-	67242821	67242871
AAK1	chr2	69457997	69674349	-	69509230	69509280
AAMDC	chr11	77821109	77918432	+	77821108	77821191
AAMP	chr2	218264129	218270178	-	218265871	218265921
AANAT	chr17	76453351	76470117	+	76467568	76467618
AAR2	chr20	36236131	36270918	+	36236458	36236503
AARD	chr8	116938207	116944487	+	116938198	116938248
AARS1	chr16	70251983	70289707	-	70267746	70267796
AARS2	chr6	44298731	44313347	-	44313276	44313326
AARSD1	chr17	42950526	42964498	-	42955211	42955261
AASDH	chr4	56338287	56387508	-	56387458	56387508
AASDHPPT	chr11	106075501	106098699	+	106091466	106091516
AASS	chr7	122064583	122144308	-	122144205	122144280
AATF	chr17	36948925	37056871	+	36949018	36949068
AATK	chr17	81110487	81166221	-	81166027	81166077
ABAT	chr16	8674596	8784575	+	8713361	8713411
ABCA1	chr9	104781006	104928155	-	104830939	104830989
ABCA10	chr17	69147214	69244846	-	69149273	69149323
ABCA12	chr2	214931542	215138626	-	215138354	215138428
ABCA13	chr7	48171458	48647497	+	48279275	48279325
ABCA2	chr9	137007234	137028915	-	137028827	137028877
ABCA3	chr16	2275881	2340746	-	2340696	2340746
ABCA5	chr17	69244311	69327244	-	69327132	69327182
ABCA6	chr17	69078702	69141895	-	69087568	69087618
ABCA7	chr19	1039997	1065572	+	1040100	1040152
ABCA8	chr17	68867289	68955392	-	68955342	68955392
ABCA9	chr17	68974488	69060949	-	68992632	68992682
ABCB1	chr7	87503017	87713323	-	87713273	87713323
ABCB11	chr2	168915498	169031324	-	168970541	168970591
ABCB4	chr7	87401696	87480435	-	87475689	87475739
ABCB5	chr7	20615667	20777038	+	20647329	20647374
ABCB6	chr2	219209772	219218994	-	219211058	219218990
ABCB8	chr7	151028422	151047782	+	151037687	151037737
ABCB9	chr12	122920951	122981649	-	122959737	122959787
ABCC1	chr16	16034690	16228109	+	16097991	16098041
ABCC10	chr6	43427366	43450427	+	43445099	43445149
