fold	val_chr	overall_spearman	chr	mean_spearman
1	chr2,chr7,chr12,chr17,chr22	0.7443618789239691	chr10	0.7294372525712047
1	chr2,chr7,chr12,chr17,chr22	0.7443618789239691	chr11	0.7687084466919832
1	chr2,chr7,chr12,chr17,chr22	0.7443618789239691	chr12	0.772376752544656
1	chr2,chr7,chr12,chr17,chr22	0.7443618789239691	chr13	0.683396550993833
1	chr2,chr7,chr12,chr17,chr22	0.7443618789239691	chr14	0.738382681134654
1	chr2,chr7,chr12,chr17,chr22	0.7443618789239691	chr15	0.75978897196009
1	chr2,chr7,chr12,chr17,chr22	0.7443618789239691	chr16	0.7200680374445244
1	chr2,chr7,chr12,chr17,chr22	0.7443618789239691	chr17	0.7309595339181806
1	chr2,chr7,chr12,chr17,chr22	0.7443618789239691	chr18	0.7551714789779592
1	chr2,chr7,chr12,chr17,chr22	0.7443618789239691	chr19	0.7091450748011843
1	chr2,chr7,chr12,chr17,chr22	0.7443618789239691	chr2	0.7327966739045901
1	chr2,chr7,chr12,chr17,chr22	0.7443618789239691	chr20	0.7339543355236201
1	chr2,chr7,chr12,chr17,chr22	0.7443618789239691	chr21	0.70093909745331
1	chr2,chr7,chr12,chr17,chr22	0.7443618789239691	chr22	0.7179389196662161
1	chr2,chr7,chr12,chr17,chr22	0.7443618789239691	chr3	0.7545753375282288
1	chr2,chr7,chr12,chr17,chr22	0.7443618789239691	chr4	0.7496342353373322
1	chr2,chr7,chr12,chr17,chr22	0.7443618789239691	chr5	0.7659253680001387
1	chr2,chr7,chr12,chr17,chr22	0.7443618789239691	chr6	0.7208615160068381
1	chr2,chr7,chr12,chr17,chr22	0.7443618789239691	chr7	0.7561566127606995
1	chr2,chr7,chr12,chr17,chr22	0.7443618789239691	chr8	0.7539443937606564
1	chr2,chr7,chr12,chr17,chr22	0.7443618789239691	chr9	0.7328467224503659
2	chr3,chr8,chr13,chr18	0.7474196785566946	chr10	0.7294372525712047
2	chr3,chr8,chr13,chr18	0.7474196785566946	chr11	0.7687084466919832
2	chr3,chr8,chr13,chr18	0.7474196785566946	chr12	0.772376752544656
2	chr3,chr8,chr13,chr18	0.7474196785566946	chr13	0.683396550993833
2	chr3,chr8,chr13,chr18	0.7474196785566946	chr14	0.738382681134654
2	chr3,chr8,chr13,chr18	0.7474196785566946	chr15	0.75978897196009
2	chr3,chr8,chr13,chr18	0.7474196785566946	chr16	0.7200680374445244
2	chr3,chr8,chr13,chr18	0.7474196785566946	chr17	0.7309595339181806
2	chr3,chr8,chr13,chr18	0.7474196785566946	chr18	0.7551714789779592
2	chr3,chr8,chr13,chr18	0.7474196785566946	chr19	0.7091450748011843
2	chr3,chr8,chr13,chr18	0.7474196785566946	chr2	0.7327966739045901
2	chr3,chr8,chr13,chr18	0.7474196785566946	chr20	0.7339543355236201
2	chr3,chr8,chr13,chr18	0.7474196785566946	chr21	0.70093909745331
2	chr3,chr8,chr13,chr18	0.7474196785566946	chr22	0.7179389196662161
2	chr3,chr8,chr13,chr18	0.7474196785566946	chr3	0.7545753375282288
2	chr3,chr8,chr13,chr18	0.7474196785566946	chr4	0.7496342353373322
2	chr3,chr8,chr13,chr18	0.7474196785566946	chr5	0.7659253680001387
2	chr3,chr8,chr13,chr18	0.7474196785566946	chr6	0.7208615160068381
2	chr3,chr8,chr13,chr18	0.7474196785566946	chr7	0.7561566127606995
2	chr3,chr8,chr13,chr18	0.7474196785566946	chr8	0.7539443937606564
2	chr3,chr8,chr13,chr18	0.7474196785566946	chr9	0.7328467224503659
3	chr4,chr9,chr14,chr19	0.7305959932320918	chr10	0.7294372525712047
3	chr4,chr9,chr14,chr19	0.7305959932320918	chr11	0.7687084466919832
3	chr4,chr9,chr14,chr19	0.7305959932320918	chr12	0.772376752544656
3	chr4,chr9,chr14,chr19	0.7305959932320918	chr13	0.683396550993833
3	chr4,chr9,chr14,chr19	0.7305959932320918	chr14	0.738382681134654
3	chr4,chr9,chr14,chr19	0.7305959932320918	chr15	0.75978897196009
3	chr4,chr9,chr14,chr19	0.7305959932320918	chr16	0.7200680374445244
3	chr4,chr9,chr14,chr19	0.7305959932320918	chr17	0.7309595339181806
3	chr4,chr9,chr14,chr19	0.7305959932320918	chr18	0.7551714789779592
3	chr4,chr9,chr14,chr19	0.7305959932320918	chr19	0.7091450748011843
3	chr4,chr9,chr14,chr19	0.7305959932320918	chr2	0.7327966739045901
3	chr4,chr9,chr14,chr19	0.7305959932320918	chr20	0.7339543355236201
3	chr4,chr9,chr14,chr19	0.7305959932320918	chr21	0.70093909745331
3	chr4,chr9,chr14,chr19	0.7305959932320918	chr22	0.7179389196662161
3	chr4,chr9,chr14,chr19	0.7305959932320918	chr3	0.7545753375282288
3	chr4,chr9,chr14,chr19	0.7305959932320918	chr4	0.7496342353373322
3	chr4,chr9,chr14,chr19	0.7305959932320918	chr5	0.7659253680001387
3	chr4,chr9,chr14,chr19	0.7305959932320918	chr6	0.7208615160068381
3	chr4,chr9,chr14,chr19	0.7305959932320918	chr7	0.7561566127606995
3	chr4,chr9,chr14,chr19	0.7305959932320918	chr8	0.7539443937606564
