fold	val_chr	overall_spearman	chr	mean_spearman
1	chr2,chr7,chr12,chr17,chr22	0.7582109485978215	chr10	0.7552095458181174
1	chr2,chr7,chr12,chr17,chr22	0.7582109485978215	chr11	0.7760332992916912
1	chr2,chr7,chr12,chr17,chr22	0.7582109485978215	chr12	0.7720789301168187
1	chr2,chr7,chr12,chr17,chr22	0.7582109485978215	chr13	0.7017528528829736
1	chr2,chr7,chr12,chr17,chr22	0.7582109485978215	chr14	0.7278600277058571
1	chr2,chr7,chr12,chr17,chr22	0.7582109485978215	chr15	0.7658791312195118
1	chr2,chr7,chr12,chr17,chr22	0.7582109485978215	chr16	0.7433626517683819
1	chr2,chr7,chr12,chr17,chr22	0.7582109485978215	chr17	0.7467692899397517
1	chr2,chr7,chr12,chr17,chr22	0.7582109485978215	chr18	0.7564473720695941
1	chr2,chr7,chr12,chr17,chr22	0.7582109485978215	chr19	0.7111982876618016
1	chr2,chr7,chr12,chr17,chr22	0.7582109485978215	chr2	0.7499910074813133
1	chr2,chr7,chr12,chr17,chr22	0.7582109485978215	chr20	0.7629136295146696
1	chr2,chr7,chr12,chr17,chr22	0.7582109485978215	chr21	0.7461389465043298
1	chr2,chr7,chr12,chr17,chr22	0.7582109485978215	chr22	0.7433462720534102
1	chr2,chr7,chr12,chr17,chr22	0.7582109485978215	chr3	0.7577765340956445
1	chr2,chr7,chr12,chr17,chr22	0.7582109485978215	chr4	0.7458719130944707
1	chr2,chr7,chr12,chr17,chr22	0.7582109485978215	chr5	0.7769370770755152
1	chr2,chr7,chr12,chr17,chr22	0.7582109485978215	chr6	0.7314361234321768
1	chr2,chr7,chr12,chr17,chr22	0.7582109485978215	chr7	0.7731935151640295
1	chr2,chr7,chr12,chr17,chr22	0.7582109485978215	chr8	0.7601801104939143
1	chr2,chr7,chr12,chr17,chr22	0.7582109485978215	chr9	0.7284233661476885
2	chr3,chr8,chr13,chr18	0.752969600634314	chr10	0.7552095458181174
2	chr3,chr8,chr13,chr18	0.752969600634314	chr11	0.7760332992916912
2	chr3,chr8,chr13,chr18	0.752969600634314	chr12	0.7720789301168187
2	chr3,chr8,chr13,chr18	0.752969600634314	chr13	0.7017528528829736
2	chr3,chr8,chr13,chr18	0.752969600634314	chr14	0.7278600277058571
2	chr3,chr8,chr13,chr18	0.752969600634314	chr15	0.7658791312195118
2	chr3,chr8,chr13,chr18	0.752969600634314	chr16	0.7433626517683819
2	chr3,chr8,chr13,chr18	0.752969600634314	chr17	0.7467692899397517
2	chr3,chr8,chr13,chr18	0.752969600634314	chr18	0.7564473720695941
2	chr3,chr8,chr13,chr18	0.752969600634314	chr19	0.7111982876618016
2	chr3,chr8,chr13,chr18	0.752969600634314	chr2	0.7499910074813133
2	chr3,chr8,chr13,chr18	0.752969600634314	chr20	0.7629136295146696
2	chr3,chr8,chr13,chr18	0.752969600634314	chr21	0.7461389465043298
2	chr3,chr8,chr13,chr18	0.752969600634314	chr22	0.7433462720534102
2	chr3,chr8,chr13,chr18	0.752969600634314	chr3	0.7577765340956445
2	chr3,chr8,chr13,chr18	0.752969600634314	chr4	0.7458719130944707
2	chr3,chr8,chr13,chr18	0.752969600634314	chr5	0.7769370770755152
2	chr3,chr8,chr13,chr18	0.752969600634314	chr6	0.7314361234321768
2	chr3,chr8,chr13,chr18	0.752969600634314	chr7	0.7731935151640295
2	chr3,chr8,chr13,chr18	0.752969600634314	chr8	0.7601801104939143
2	chr3,chr8,chr13,chr18	0.752969600634314	chr9	0.7284233661476885
3	chr4,chr9,chr14,chr19	0.7277661149364922	chr10	0.7552095458181174
3	chr4,chr9,chr14,chr19	0.7277661149364922	chr11	0.7760332992916912
3	chr4,chr9,chr14,chr19	0.7277661149364922	chr12	0.7720789301168187
3	chr4,chr9,chr14,chr19	0.7277661149364922	chr13	0.7017528528829736
3	chr4,chr9,chr14,chr19	0.7277661149364922	chr14	0.7278600277058571
3	chr4,chr9,chr14,chr19	0.7277661149364922	chr15	0.7658791312195118
3	chr4,chr9,chr14,chr19	0.7277661149364922	chr16	0.7433626517683819
3	chr4,chr9,chr14,chr19	0.7277661149364922	chr17	0.7467692899397517
3	chr4,chr9,chr14,chr19	0.7277661149364922	chr18	0.7564473720695941
3	chr4,chr9,chr14,chr19	0.7277661149364922	chr19	0.7111982876618016
3	chr4,chr9,chr14,chr19	0.7277661149364922	chr2	0.7499910074813133
3	chr4,chr9,chr14,chr19	0.7277661149364922	chr20	0.7629136295146696
3	chr4,chr9,chr14,chr19	0.7277661149364922	chr21	0.7461389465043298
3	chr4,chr9,chr14,chr19	0.7277661149364922	chr22	0.7433462720534102
3	chr4,chr9,chr14,chr19	0.7277661149364922	chr3	0.7577765340956445
3	chr4,chr9,chr14,chr19	0.7277661149364922	chr4	0.7458719130944707
3	chr4,chr9,chr14,chr19	0.7277661149364922	chr5	0.7769370770755152
3	chr4,chr9,chr14,chr19	0.7277661149364922	chr6	0.7314361234321768
3	chr4,chr9,chr14,chr19	0.7277661149364922	chr7	0.7731935151640295
3	chr4,chr9,chr14,chr19	0.7277661149364922	chr8	0.7601801104939143
3	chr4,chr9,chr14,chr19	0.7277661149364922	chr9	0.7284233661476885
4	chr5,chr10,chr15,chr20	0.7642476314955261	chr10	0.7552095458181174
4	chr5,chr10,chr15,chr20	0.7642476314955261	chr11	0.7760332992916912
4	chr5,chr10,chr15,chr20	0.7642476314955261	chr12	0.7720789301168187
4	chr5,chr10,chr15,chr20	0.7642476314955261	chr13	0.7017528528829736
4	chr5,chr10,chr15,chr20	0.7642476314955261	chr14	0.7278600277058571
4	chr5,chr10,chr15,chr20	0.7642476314955261	chr15	0.7658791312195118
4	chr5,chr10,chr15,chr20	0.7642476314955261	chr16	0.7433626517683819
4	chr5,chr10,chr15,chr20	0.7642476314955261	chr17	0.7467692899397517
4	chr5,chr10,chr15,chr20	0.7642476314955261	chr18	0.7564473720695941
4	chr5,chr10,chr15,chr20	0.7642476314955261	chr19	0.7111982876618016
4	chr5,chr10,chr15,chr20	0.7642476314955261	chr2	0.7499910074813133
4	chr5,chr10,chr15,chr20	0.7642476314955261	chr20	0.7629136295146696
4	chr5,chr10,chr15,chr20	0.7642476314955261	chr21	0.7461389465043298
4	chr5,chr10,chr15,chr20	0.7642476314955261	chr22	0.7433462720534102
4	chr5,chr10,chr15,chr20	0.7642476314955261	chr3	0.7577765340956445
4	chr5,chr10,chr15,chr20	0.7642476314955261	chr4	0.7458719130944707
4	chr5,chr10,chr15,chr20	0.7642476314955261	chr5	0.7769370770755152
4	chr5,chr10,chr15,chr20	0.7642476314955261	chr6	0.7314361234321768
4	chr5,chr10,chr15,chr20	0.7642476314955261	chr7	0.7731935151640295
4	chr5,chr10,chr15,chr20	0.7642476314955261	chr8	0.7601801104939143
4	chr5,chr10,chr15,chr20	0.7642476314955261	chr9	0.7284233661476885
5	chr6,chr11,chr16,chr21	0.7579561887470359	chr10	0.7552095458181174
5	chr6,chr11,chr16,chr21	0.7579561887470359	chr11	0.7760332992916912
5	chr6,chr11,chr16,chr21	0.7579561887470359	chr12	0.7720789301168187
5	chr6,chr11,chr16,chr21	0.7579561887470359	chr13	0.7017528528829736
5	chr6,chr11,chr16,chr21	0.7579561887470359	chr14	0.7278600277058571
5	chr6,chr11,chr16,chr21	0.7579561887470359	chr15	0.7658791312195118
5	chr6,chr11,chr16,chr21	0.7579561887470359	chr16	0.7433626517683819
5	chr6,chr11,chr16,chr21	0.7579561887470359	chr17	0.7467692899397517
5	chr6,chr11,chr16,chr21	0.7579561887470359	chr18	0.7564473720695941
5	chr6,chr11,chr16,chr21	0.7579561887470359	chr19	0.7111982876618016
5	chr6,chr11,chr16,chr21	0.7579561887470359	chr2	0.7499910074813133
5	chr6,chr11,chr16,chr21	0.7579561887470359	chr20	0.7629136295146696
5	chr6,chr11,chr16,chr21	0.7579561887470359	chr21	0.7461389465043298
5	chr6,chr11,chr16,chr21	0.7579561887470359	chr22	0.7433462720534102
5	chr6,chr11,chr16,chr21	0.7579561887470359	chr3	0.7577765340956445
5	chr6,chr11,chr16,chr21	0.7579561887470359	chr4	0.7458719130944707
5	chr6,chr11,chr16,chr21	0.7579561887470359	chr5	0.7769370770755152
5	chr6,chr11,chr16,chr21	0.7579561887470359	chr6	0.7314361234321768
5	chr6,chr11,chr16,chr21	0.7579561887470359	chr7	0.7731935151640295
5	chr6,chr11,chr16,chr21	0.7579561887470359	chr8	0.7601801104939143
5	chr6,chr11,chr16,chr21	0.7579561887470359	chr9	0.7284233661476885
