gene_name	chr	gene_start	gene_end	TSS_start	TSS_end	strand	gex	DNase_gene_z_mean	DNase_gene_z_std	DNase_tss_z_mean	DNase_tss_z_std	H3K27ac_gene_z_mean	H3K27ac_gene_z_std	H3K27ac_tss_z_mean	H3K27ac_tss_z_std	H3K4me3_gene_z_mean	H3K4me3_gene_z_std	H3K4me3_tss_z_mean	H3K4me3_tss_z_std	H3K27me3_gene_z_mean	H3K27me3_gene_z_std	H3K27me3_tss_z_mean	H3K27me3_tss_z_std	H3K36me3_gene_z_mean	H3K36me3_gene_z_std	H3K36me3_tss_z_mean	H3K36me3_tss_z_std	H3K4me1_gene_z_mean	H3K4me1_gene_z_std	H3K4me1_tss_z_mean	H3K4me1_tss_z_std	H3K9me3_gene_z_mean	H3K9me3_gene_z_std	H3K9me3_tss_z_mean	H3K9me3_tss_z_std
CAPN9	chr1	230747384	230802003	230791876	230791926	+		0.0046336837	0.02130395	0.0010970498	0.009468838	-0.09130605	0.016482126	-0.08959867	0.0044961595	-0.07298646	0.031193761	-0.07151521	0.006882412	-0.097542875	0.33193237	0.030670064	0.33573705	-0.30500695	0.29445544	-0.13524815	0.26963198	-0.18820232	0.06835049	-0.18586066	0.017007992	-0.35873216	0.41097584	-0.30403227	0.3134524
ILF2	chr1	153661788	153671028	153664424	153664474	-		0.011136231	0.063891105	-0.0005930579	0.009506821	0.42240065	1.8606453	-0.04879905	0.064682126	2.3497138	7.4306245	-0.064198725	0.04043802	-0.28381538	0.09942716	-0.2773931	0.019133026	4.2505226	4.1687555	5.231524	3.5516338	0.37913978	1.5333803	-0.1960715	0.032573417	-0.57927585	0.27159068	-0.4416738	0.2790817
ST6GALNAC5	chr1	76867480	77067546	76867440	76867490	+		-0.003272087	0.01469442	0.012006544	0.02693578	-0.08498468	0.014488896	-0.08563249	0.005225861	-0.06093467	0.06365822	0.17434755	0.34509668	0.37899712	1.2635645	9.048067	3.806811	-0.1923814	0.37728086	-0.15040441	0.26399672	-0.15924859	0.12527229	0.1836919	0.33988145	-0.22024351	0.46716818	-0.34353164	0.17614654
MROH7-TTC4	chr1	54641786	54742308	54641785	54641835	+		0.0015214669	0.025640016	-0.0028769562	0.010057844	-0.053649288	0.36500973	-0.09874263	0.0057181814	0.095492244	1.9483701	-0.084729195	0.0088049555	0.105070956	0.5894802	0.6404179	0.8169836	0.44810367	1.923685	-0.23549038	0.4678366	-0.13699959	0.43559447	-0.20020907	0.04546532	-0.2997743	0.48847044	-0.3754618	0.39611712
AGO4	chr1	35808016	35857890	35841672	35841722	+		-0.0004734121	0.031689364	-0.0057699075	0.00858079	-0.04326341	0.27965656	-0.09087796	0.008257904	0.05436142	0.9059042	-0.059547517	0.025934407	-0.21143237	0.11340529	-0.1999133	0.11844829	1.2328106	2.1737862	3.1234045	2.5317066	-0.058116443	0.5368799	-0.19027096	0.03012366	-0.3246699	0.36388958	-0.42949793	0.22031534
AKR1A1	chr1	45550543	45570049	45550803	45550853	+		0.011457299	0.056408364	0.098726645	0.15094773	-1.6159776e-05	0.37302324	0.69140923	1.0816919	0.90904623	4.4089155	0.98020315	1.425459	-0.25554594	0.072138734	-0.3107046	0.04023601	0.9712468	1.7782016	-0.4843145	0.13430302	0.13175483	1.4118466	0.89648545	1.3483553	-0.42678574	0.33738583	-0.6717106	0.23991483
LRRC8B	chr1	89524829	89597861	89524835	89524885	+		0.00042596713	0.03367256	0.22574252	0.210785	0.28860763	1.7444116	1.0534496	0.9885364	0.033899784	0.8448663	1.2461748	1.2627608	-0.24510697	0.09815045	-0.09655014	0.38613227	0.18473725	0.8941467	-0.45108742	0.22690074	0.6470264	2.4346154	1.0643296	1.0347588	-0.38749322	0.41193402	-0.7648886	0.10106664
EFNA3	chr1	155078837	155087538	155085515	155085565	+		0.14843006	0.22894745	0.6001517	0.36007544	0.07134605	0.56579554	0.53618515	0.55256206	0.4042995	1.3222709	3.0745873	2.104817	6.6580753	8.04547	-0.32718006	0.01718556	-0.44004557	0.22893336	-0.50701445	0.11184764	0.5308371	1.2305328	0.5199838	1.3716128	-0.60406995	0.28477174	-0.71979266	0.19378112
GSTM3	chr1	109733932	109741038	109740466	109740516	-		0.040574167	0.10177143	0.0745933	0.05250034	-0.029617961	0.27823034	-0.08152574	0.024617348	0.21029377	0.68507016	0.50473976	0.77855015	-0.031241152	0.49944773	0.038060356	0.5018721	-0.09496919	0.65750563	-0.47686556	0.10288429	0.35005993	1.4496378	3.3763216	2.7771325	-0.42025924	0.4726502	-0.32646936	0.49167106
CRYBG2	chr1	26321698	26360080	26337196	26337246	-		0.018835088	0.04569387	0.048571974	0.016629191	-0.01008904	0.4962439	-0.094158426	0.00847006	-0.041249536	0.24927521	-0.07952853	0.013277834	0.23310941	0.9442678	0.2679919	0.59193975	-0.2830341	0.32249668	-0.32538942	0.30470553	0.06540567	1.1085368	-0.20343854	0.033976458	-0.41293597	0.32704902	-0.38065836	0.5056422
CCDC24	chr1	43991359	43996528	43995392	43995442	+		0.065465994	0.123726316	0.023974251	0.034569535	-0.057143867	0.094872564	-0.08613652	0.011838194	0.33925784	1.0435997	-0.0755775	0.005088423	-0.21908532	0.16853909	-0.24660929	0.040577676	-0.32925984	0.21093638	-0.237261	0.21686259	0.07470693	0.59403324	-0.18631175	0.030518273	-0.49429625	0.30455616	-0.36892995	0.30081192
ARHGEF2	chr1	155946851	156007070	155961907	155961957	-		0.02133329	0.06714043	0.23306634	0.28329334	0.38607827	1.7359133	1.9100856	2.7290826	0.13867395	0.86717707	-0.059149776	0.05062384	-0.255183	0.1791897	-0.33803692	0.02702575	1.1541098	3.113325	1.0173227	1.1939088	1.4296855	3.4070878	5.5555654	3.6734977	-0.52005184	0.33145076	-0.819292	0.09550434
SYNC	chr1	32679906	32703596	32702706	32702756	-		0.01528666	0.0618381	0.18221119	0.15658224	-0.07431887	0.058643613	-0.07668284	0.03533544	0.035003036	0.58670187	1.5005069	2.0524695	-0.24315713	0.08270589	-0.2480987	0.093878426	0.6140063	1.7919425	-0.4388585	0.052782115	0.03726312	0.57138985	0.7922997	0.78621185	-0.3988621	0.3923125	-0.38885674	0.3650143
ABCA4	chr1	93992834	94121148	94010879	94010929	-		0.009021363	0.039987344	6.1682156e-05	0.009322863	2.1477764	7.129883	-0.09808353	0.005989369	-0.06542823	0.12446064	-0.08372182	0.009494897	-0.07241229	0.6162008	0.09370806	0.47955498	-0.33348706	0.34962982	-0.36716652	0.22436318	1.5716026	3.9603188	-0.21597423	0.022417234	-0.5862091	0.31773323	-0.50661415	0.3319627
LYST	chr1	235661041	235883640	235866870	235866920	-		-0.0037221762	0.028523888	0.2343072	0.2815272	-0.079405636	0.053853128	0.1752807	0.3024414	-0.024992691	0.51999587	3.9647434	4.1115437	-0.15253158	0.37309936	-0.19897032	0.15835047	0.1655865	0.90274984	-0.5094302	0.089964576	-0.109878935	0.38093072	1.0613496	1.2188461	-0.3046356	0.5627647	-0.73544717	0.11200332
XCL2	chr1	168540768	168543997	168543947	168543997	-		-0.008238515	0.004840308	-0.010489983	0.0027173294	-0.078923695	5.470473e-09	-0.07892369	1.0940946e-08	-0.05722317	0.0112720365	-0.059211336	0.0017445212	-0.1735835	1.3771103e-08	-0.13173774	0.11331878	-0.17598046	0.24048033	-0.2955549	0.0039949915	-0.14934413	0.0	-0.14934409	4.233541e-08	-0.15784027	0.21980739	-0.23681076	0.098874025
RBM15	chr1	110338506	110346681	110339322	110339372	+		0.062390942	0.16877271	0.43338048	0.22065638	1.2192466	3.3926861	7.2529263	5.2860713	1.5745289	3.2582393	2.111998	1.7589508	-0.29284197	0.04884901	-0.34160072	0.01767075	1.2233684	1.7294028	-0.59116983	0.030991292	1.3744301	1.788485	-0.21045546	0.11337685	-0.4810759	0.3437734	-0.8433783	0.0749021
JAK1	chr1	64833229	65067754	64846859	64846909	-		0.007823429	0.055113673	0.011313757	0.01931401	0.59750354	2.7981894	-0.08509051	0.02533792	0.053294774	1.066329	-0.09088066	0.002714335	-0.2699684	0.09891215	-0.3185934	0.010400955	0.30930558	1.4174767	1.4758173	1.4848156	0.9773923	3.0159116	0.646331	1.2405584	-0.49690703	0.3434613	-0.70986336	0.050953116
SMAP2	chr1	40344850	40423326	40413976	40414026	+		0.0032885785	0.049806703	-0.0046964656	0.0047314214	-0.08159421	0.038035505	-0.09024158	0.010616709	0.014348591	0.6581981	-0.07874249	0.0100357095	-0.037135985	0.6000309	-0.16636536	0.19501562	-0.07003412	0.6664294	-0.06989252	0.33526686	-0.08759628	0.38060576	-0.18929678	0.056677505	-0.33289978	0.40364996	-0.22862503	0.48625892
PTPN7	chr1	202147013	202161588	202160565	202160615	-		0.013366402	0.028705131	0.03267595	0.026433159	-0.07175562	0.06532579	-0.08481922	0.03839487	-0.07645545	0.016682506	-0.07676082	0.020348433	-0.15010451	0.23069769	-0.26699784	0.06555698	-0.22110109	0.43218243	-0.41825485	0.16044399	0.1590809	1.0982808	-0.07977511	0.18311845	-0.4233954	0.31759688	-0.48561752	0.35064885
IQGAP3	chr1	156525405	156572604	156572554	156572604	-		0.006517423	0.041182548	0.120286815	0.24021804	-0.012424724	0.42876098	-0.097433195	0.017923245	0.21276708	1.9335507	0.043421574	0.35103664	-0.25864682	0.09286244	0.13901603	0.7353456	2.0066094	2.521902	-0.47090283	0.13476892	-0.0958994	0.49261662	0.13942838	0.584786	-0.4259527	0.34791887	-0.5657231	0.3189424
IFI16	chr1	158999968	159055155	159015672	159015722	+		-0.0017292252	0.025868133	0.04618909	0.09848255	0.34036386	1.5914491	0.7013544	0.46193653	1.2572907	6.656871	0.12714623	0.19298944	-0.20047371	0.14558603	-0.27873158	0.053237878	2.9528778	4.2293906	2.1154332	2.5328646	0.6328686	1.9440763	4.1072564	3.1891537	-0.24889031	0.47231624	-0.19273464	0.79766715
PIGV	chr1	26787054	26800659	26787963	26787989	+		0.057333283	0.1213198	0.21588251	0.18366708	0.7898545	2.026704	6.167161	2.3010485	0.5985349	1.5020006	2.0129218	1.2203672	-0.27508917	0.12124377	-0.32507277	0.0346943	-0.12859412	0.6850822	-0.5180368	0.08576029	1.5262924	3.8655603	7.835503	6.959427	-0.56622285	0.30197263	-0.7414317	0.16113865
